Title,Category,Category id,Chanel name,Comment,Create,Curator,Date,Duration,Id,If the download speed is slow when viewed / in seconds.,Language,License,License code,Mark it [!] if video is good! (Interesting/Quality),NFT,Original License,Original Link,Owner,Size,URL,Update
Joystream intro video,Film & Animation,1,Mayor's Tee,,"August 18, 2022 2:38 AM (GMT+1)",prontera,"August 19, 2022",10,27327,,en,CC0,1002,,0,Original video for Joystream,Original video for Joystream,Mayor Tee #7185,8988373,https://play.joystream.org/video/27327,"August 18, 2022 2:38 AM (GMT+1)"
Flux Logo Intro,Film & Animation,1,Content,,"August 21, 2022 8:04 PM (GMT+1)",skipper,"August 24, 2022",8,27342,,en,,1002,,0,Original video,-,igormig,2465142,https://play.joystream.org/video/27342,"August 21, 2022 8:04 PM (GMT+1)"
Pioneer - основные функции.,Science & Technology,14,Top Project,,"March 28, 2022 11:55 AM (GMT+1)",skipper,"August 23, 2022",114,23458,,ru,CC0,1002,,0,Original video,-,kriptos,47012914,https://play.joystream.org/video/23458,"March 28, 2022 11:55 AM (GMT+1)"
Футбол турнір3,Sports,5,drog,,"August 22, 2022 7:03 AM (GMT+1)",skipper,"August 23, 2022",207,27345,,en,CC0,1002,,0,Original video,-,droginfo,314256188,https://play.joystream.org/video/27345,"August 22, 2022 7:03 AM (GMT+1)"
How to Cancel NFT Sale,Howto & Style,12,Joystream Tutorials by Songoku,,"August 19, 2022 11:59 AM (GMT+1)",skipper,"August 20, 2022",69,27332,,en,CC0,1002,,0,original content,-,songoku,38570825,https://play.joystream.org/video/27332,"August 19, 2022 11:59 AM (GMT+1)"
Future Sound Of London's Iteration w/ Terence McKenna,Entertainment,10,SatoriD,,"August 22, 2022 12:27 AM (GMT+1)",ferdikesh_studio,"August 24, 2022",599,27344,,en,CC0,1002,,0,Original video,Original video for Joystream,infinteimaginarium,400376424,https://play.joystream.org/video/27344,"August 22, 2022 12:27 AM (GMT+1)"
Метамаск - раширение для браузера. Инструкция по установке,Education,13,PrettyFreak,,"August 19, 2022 7:55 AM (GMT+1)",skipper,"August 20, 2022",152,27330,,en,CC0,1002,,0,original content,-,prettyfreak,5870053,https://play.joystream.org/video/27330,"August 19, 2022 7:55 AM (GMT+1)"
ZkLend NFT,Film & Animation,1,Content,,"August 21, 2022 7:26 PM (GMT+1)",ferdikesh_studio,"August 24, 2022",8,27338,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,4653371,https://play.joystream.org/video/27338,"August 21, 2022 7:26 PM (GMT+1)"
Can Olaf become a Founding Member?,Film & Animation,1,Songoku Channel,,"August 19, 2022 6:16 AM (GMT+1)",ferdikesh_studio,"August 24, 2022",15,27328,,en,CC0,1002,,0,Original video,Original video for Joystream,songoku,4646300,https://play.joystream.org/video/27328,"August 19, 2022 6:16 AM (GMT+1)"
Flux Logo Intro,Film & Animation,1,Content,,"August 21, 2022 8:04 PM (GMT+1)",ferdikesh_studio,"August 24, 2022",8,27342,,en,CC0,1002,,0,Original video,Original video for Joystream,igormig,2465142,https://play.joystream.org/video/27342,"August 21, 2022 8:04 PM (GMT+1)"
Cosmic Joystream logo intro,Entertainment,10,PrettyFreak,,"August 20, 2022 9:48 AM (GMT+1)",Songoku,"August 20, 2022",17,27334,,en,CC0,1002,,0,Original video,Original video for Joystream,prettyfreak,14080811,https://play.joystream.org/video/27334,"August 20, 2022 9:48 AM (GMT+1)"
Martian кошелек Аптос. Как установить,Education,13,PrettyFreak,,"August 19, 2022 7:49 AM (GMT+1)",skipper,"August 20, 2022",128,27329,,en,CC0,1002,,0,original content,-,prettyfreak,3916915,https://play.joystream.org/video/27329,"August 19, 2022 7:49 AM (GMT+1)"
Tortillas de Masa Seca Casera con Verdolagas en el Rancho,Howto & Style,12,Las Recetas del Rancho,,"August 21, 2022 1:24 AM (GMT+1)",skipper,"August 23, 2022",317,27336,,es,CC_BY_NC,1006,,27336,Original video,-,delranchorecipes,206000150,https://play.joystream.org/video/27336,"August 21, 2022 1:24 AM (GMT+1)"
NFT Redux MoMint,Entertainment,10,SatoriD,,"August 18, 2022 12:19 AM (GMT+1)",skipper,"August 20, 2022",440,27326,,en,CC0,1002,,0,original content,-,infinteimaginarium,291518953,https://play.joystream.org/video/27326,"August 18, 2022 12:19 AM (GMT+1)"
Joystream intro video,Entertainment,10,PrettyFreak,,"August 20, 2022 11:19 AM (GMT+1)",Songoku,"August 20, 2022",5,27335,,en,CC0,1002,,0,Original video,Original video for Joystream,prettyfreak,972439,https://play.joystream.org/video/27335,"August 20, 2022 11:19 AM (GMT+1)"
Cube Relay,Entertainment,10,CubeWorld,,"August 11, 2022 10:30 AM (GMT+1)",prontera,"August 19, 2022",70,27297,,en,CC0,1002,,0,original content,Original video for Joystream,thecuber,148441944,https://play.joystream.org/video/27297,"August 11, 2022 10:30 AM (GMT+1)"
MTCG Ecosystem 001,Entertainment,10,InfiniteImaginarium,,"August 16, 2022 5:32 PM (GMT+1)",mmsaww,"August 16, 2022",3144,27323,,en,CC0,1002,,0,original content,https://www.youtube.com/watch?v=jxAJSwwqbTE,infinteimaginarium,2115149493,https://play.joystream.org/video/27323,"August 16, 2022 5:32 PM (GMT+1)"
