Channel Title,Channel_URL,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Latest YPP Reward Status,Latest Overall YPP Reward in JOY,Total YPP Rewards in JOY
ALEX WORK-Заработок и инвестиции в интернете,channel/UCWu2sm68OB7HVyMcZ0qLy2A,822,26961,0.0,0.0,0.0,0.0,Paid,0,"2,313"
Alexey Ponomarev,channel/UCy23kJgN4U106T2wmFU9w5g,"3,710",26665,1.0,1.0,0.0,0.0,Paid,75,"6,423"
AMMONEY,channel/UCXbdplhVyqi8GqnFWUhGCgw,"2,210",27340,0.0,0.0,0.0,0.0,Paid,0,"1,218"
Ander Win,channel/UCdyFZm8tYbCQwxozhJmAtKA,"1,180",26592,3.0,3.0,0.0,0.0,Paid,224,"41,050"
anton777xd.crypto,channel/UCC_eor1KbcNRXg6pPlXbPgw,207,27229,0.0,0.0,0.0,0.0,Paid,0,"1,218"
Anyobservation,channel/UCsqfZJRzNitVnWrWqlfIs6A,"3,720",26761,0.0,0.0,0.0,0.0,Paid,0,"3,652"
APOK MONEY,channel/UCtMzJ-KhLE2PqKIL8M44wcg,"1,000",27241,1.0,1.0,0.0,0.0,Paid,75,"1,353"
AR-money77,channel/UCv3xUzWZ7q2QGpdBdIAeqhw,463,26550,1.0,1.0,0.0,0.0,Paid,75,"25,132"
ArtiTrade про Криптовалюты и Инвестиции,channel/UCarBJLgxVEUKXliQaoj72bA,"1,720",27893,1.0,1.0,20.0,0.0,Paid,"1,565","1,564"
ARTUR HASLEY,channel/UCONybEVWzs6F0dH51VGTGlw,"11,700",27387,1.0,2.0,0.0,0.0,Paid,149,"3,318"
Avseenko-life,channel/UCyUf82PMw5yzVNhogI4vSng,"182,000",26295,2.0,10.0,0.0,0.0,Paid,769,"213,681"
B i t c o,channel/UC6IbD92Jwh2KkZ9uyP7CnKw,"1,920",27520,1.0,1.0,0.0,0.0,Paid,75,"1,414"
Baikov Invest,channel/UC6EPjiPIHhXhXG3KOoCAAnw,"4,270",26653,0.0,0.0,0.0,0.0,Paid,0,"6,500"
Banlife,channel/UCSpqXUeE2DhKlWNwLjNVG8g,"36,800",27434,0.0,0.0,0.0,0.0,Paid,0,"3,169"
Bassam Maqboul,channel/UCx0yPxMR9hTuGCcv34WIYCg,"6,320",27615,0.0,0.0,0.0,0.0,Paid,0,"3,047"
BaTtLeX Crypto,channel/UCkRVPXOK4ywXGf7W0c0hj8g,"1,130",26607,0.0,0.0,0.0,25.0,Paid,"1,863","7,654"
Bisnes Planet,channel/UCZ9zoxNxjLEYeoSzuDJK_vA,"1,050",27622,5.0,3.0,0.0,0.0,Paid,224,"1,441"
Bitcoin & Crypto con Maury,channel/UCZMeRQyofiRmEtlE5CvLvfg,"21,700",27874,4.0,6.0,50.0,0.0,Paid,"4,172","4,172"
Bitvisitor,channel/UCVUXyDByKwMeda6RG4HUHzQ,425,26571,4.0,3.0,0.0,0.0,Paid,224,"10,526"
BLOG CRYPTONA,channel/UCzOsVkR4JEPKYeilY6ybmiw,222,26696,1.0,1.0,0.0,25.0,Paid,"1,937","7,305"
Boa Dica Cryptomoedas,channel/UCgUZ3tUl8cjQDWRWDDckRLw,"10,300",27707,4.0,6.0,50.0,0.0,Paid,"4,172","4,172"
Böyük Pullar,channel/UCkOuHL2gknWnVHANtWM-29Q,"6,960",27063,2.0,4.0,0.0,0.0,Paid,298,"8,990"
Brandon Duff - The Boring Passive Income Guy,channel/UCxZiNvPRrI7yprbcY91euxg,"6,110",25941,1.0,2.0,0.0,0.0,Paid,149,"166,542"
Bruel Games,channel/UC4VK0tvNdIhFRw-nOh3K5Hg,"3,630",26320,6.0,3.0,0.0,0.0,Paid,231,"22,629"
BSC MASTER,channel/UCjpfBQV3n4m6n4ut5rBwEZw,"122,000",26756,0.0,0.0,0.0,0.0,Paid,0,"28,644"
bulevar - AKTIV,channel/UC5sy1YrkaIRksKj0seGdgOA,47,26055,0.0,0.0,0.0,0.0,Paid,0,"5,000"
Business in trend,channel/UCODHWlE1jLeEPYqNujw6dNQ,749,27567,0.0,0.0,0.0,0.0,Paid,0,"1,218"
byArto,channel/UCNtkpZmbRCwrLWsnwEVtMNA,"5,720",27725,1.0,2.0,50.0,0.0,Paid,"3,874","3,874"
casperer,channel/UCvOdcNsj4xrmvFJDCgM5obQ,"121,000",26764,1.0,5.0,0.0,0.0,Paid,373,"22,105"
Cawa Money,channel/UCrdoibcjmSyPZATWf4gq7bA,886,27149,1.0,1.0,0.0,0.0,Paid,75,"3,610"
CloudGeo,channel/UChUEbXw4jvLW-GWPCI3uf2Q,"23,400",27466,1.0,2.0,0.0,0.0,Paid,149,"3,196"
Coin Brain,channel/UCCLfX0ilNu5yFXAU_VBjnRg,"2,000",26897,0.0,0.0,0.0,0.0,Paid,0,"2,373"
"Coin Explain - криптовалюта, блокчейн, NFT",channel/UCwNzO9IfupXIJo3oLhz0kEg,975,27190,1.0,1.0,0.0,0.0,Paid,75,"2,734"
COIN ROOM,channel/UCwO6cxPZNmHuRwO-h25InVg,"151,000",26632,1.0,5.0,0.0,0.0,Paid,373,"25,183"
COOPERXGOD Crypto,channel/UCJkiYNeUDb1yft35z8FqioA,370,27012,0.0,0.0,0.0,0.0,Paid,0,"3,007"
COSMOS Indicator,channel/UCcEu6sNoWF6dTKrWEHCz1fg,125,27819,1.0,1.0,20.0,0.0,Paid,"1,565","1,564"
CRAZY MONEY,channel/UCv2JfgVgUfWLmKOLK06Y-qg,604,26765,0.0,0.0,0.0,0.0,Paid,0,"3,652"
Criptoadicto Ruso hablando español,channel/UC92h-uFTHLscifAm3L8AW-Q,96,26085,0.0,0.0,0.0,0.0,Paid,0,"6,470"
CriptoTime,channel/UCHejOkoxSpaJ-iXFEhuK3oA,"4,040",26784,5.0,3.0,0.0,0.0,Paid,224,"9,840"
Cristy Verse,channel/UCJZfnLD8sz-Ty1GB0VGCogg,"28,200",26497,0.0,0.0,0.0,0.0,Paid,0,"124,179"
CryptInvest,channel/UC1wr8p1hUSGWghSr-heiJ7A,67,27008,1.0,1.0,0.0,0.0,Paid,75,"4,937"
Crypto 4Light,channel/UCf_wDGkiubpH4Ms1MLj2h5w,"10,100",26759,3.0,6.0,0.0,0.0,Paid,447,"19,428"
𝐂𝐫𝐲𝐩𝐭𝐨 𝐀𝐬𝐢𝐚,channel/UC2ZkXfNIbO9FaaqqsHzK5YQ,"9,930",27523,0.0,0.0,0.0,0.0,Paid,0,"3,047"
Crypto Awaz,channel/UCbhnmbaBxV71OCWuzaJFmzA,"2,960",25917,1.0,1.0,0.0,0.0,Paid,0,"12,015"
Crypto Aysh,channel/UCVa8768Spsh4ywCoZCETNpA,"5,120",27966,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
Crypto Banan,channel/UCz_qgof179F0Vk7TIISqcBA,"163,000",26820,0.0,0.0,0.0,0.0,Paid,0,"19,420"
CRYPTO BASH,channel/UCDmprCZalKuzi855uMnpS0w,"6,360",27807,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
Crypto Boomer,channel/UCsD2WawybVZxgULMryuNZ_g,"22,500",26818,0.0,0.0,0.0,270.0,Paid,"20,116","33,648"
Crypto Borland,channel/UCEac4l3Nh2dkV--cd0_ZlxQ,129,27952,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Crypto Boy Master,channel/UCkcQPCNeWMZC5ujy8iaF3mQ,"13,500",27942,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
Crypto boy T1,channel/UCCBi5PRiHWiB5qEa2fgapWw,"21,300",27870,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
CRYPTO BULLSEYE,channel/UCWR66mkt9ovREiEyI3xC_Yg,"4,600",25965,0.0,0.0,0.0,50.0,Paid,"3,725","47,174"
Crypto Clarity,channel/UCqliJEiBb3KvHqd7pM0nR-w,595,25773,0.0,0.0,0.0,0.0,Paid,0,"86,248"
Crypto Coin Show,channel/UC1ULGWsmJNqbNbMJ1MdNRjQ,"79,600",26568,2.0,10.0,0.0,0.0,Paid,745,"42,161"
CRYPTO CORE RAKIB,channel/UCXU3HntXoWP43cQj5UuBFxA,"1,190",25850,0.0,0.0,0.0,0.0,Paid,0,"27,932"
Crypto Crow,channel/UCwsRWmIL5XKqFtdytBfeX0g,"141,000",28016,0.0,0.0,100.0,0.0,Paid,"7,450","7,450"
Crypto Currents,channel/UCKdJhTkIoVVJEXun7zn2tGg,57,26195,0.0,0.0,0.0,0.0,Paid,0,"5,000"
Crypto Demiurg,channel/UCbaU_2DOB76Gp2yWLLsZoKQ,"3,910",26297,1.0,1.0,0.0,0.0,Paid,77,"5,076"
CRYPTO DILLER,channel/UCeQ14fCvpj7pD-21gpxVqXA,105,26522,0.0,0.0,0.0,0.0,Paid,0,"12,273"
CRYPTO DOKTOR,channel/UCwDxM8U311LvQjYE0hSWwPg,"1,020",27075,1.0,1.0,0.0,0.0,Paid,75,"2,794"
CRYPTO DYOR,channel/UCOhqckC4FpveC1LFCPQMyzA,446,27550,0.0,0.0,0.0,0.0,Paid,0,"1,218"
CRYPTO ERA,channel/UCxvpX9RNbFHpd8kKf8KDcog,"1,880",27779,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Crypto Fanat,channel/UCrB1ZCQLUamth2JmBY39pDA,"103,000",26486,0.0,0.0,0.0,0.0,Paid,0,"84,145"
Crypto Fish Network,channel/UCmu25FmqrnNfNUR-TGpA9PQ,441,27469,1.0,1.0,0.0,0.0,Paid,75,"1,475"
Crypto Flash,channel/UCnu664XillgYpD2xaRGeO8g,"32,300",25948,0.0,0.0,0.0,25.0,Paid,"1,863","10,826"
CRYPTO FLOWING,channel/UC99XrvvAE-MyEBHBEQZXOIg,"8,780",27808,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
Crypto Genius,channel/UCqnOLtouUfO-USoY1w9BwUQ,"1,000",26766,0.0,0.0,0.0,0.0,Paid,0,"7,528"
Crypto Goose,channel/UCxI2v9GlrJPkrJKoCMXLvdQ,508,27105,0.0,0.0,0.0,0.0,Paid,0,"3,067"
Crypto Groot,channel/UCSGIxsAgID60ar9cF9h-h6A,776,27414,0.0,0.0,0.0,0.0,Paid,0,"1,218"
Crypto Hamster,channel/UCkIWYu3wPQuy6BqAxZ3tGIw,"7,050",26227,0.0,0.0,0.0,0.0,Paid,0,"18,444"
Crypto House,channel/UCIozniIWiKTFIH7E5NXZbjA,"109,000",26503,1.0,5.0,0.0,0.0,Paid,385,"31,561"
CRYPTO IN,channel/UCsmsCNa-A-fwtIIiE-mH__A,"31,900",27485,9.0,6.0,0.0,100.0,Paid,"7,897","12,833"
Crypto INSIDE,channel/UCIGRe0omWgl7vqZgc7fh9aw,"1,510",26105,1.0,1.0,0.0,0.0,Paid,74,"33,231"
Crypto Inversor,channel/UC_Rv4xZN-djAmQJXtUXe-og,160,26667,3.0,3.0,0.0,0.0,Paid,224,"6,754"
Crypto Kaha,channel/UC_VdG0VPxJhaMS1_J4-PYzA,"31,900",26498,1.0,2.0,0.0,0.0,Paid,149,"39,274"
Crypto Kernels,channel/UCvwgazR7TXRMPBxC4YSNRtw,"1,690",25955,0.0,0.0,0.0,0.0,Paid,0,"10,104"
Crypto Kupec,channel/UCoQFfyhWLZ77mWPNwJ6YzXg,977,27283,1.0,1.0,0.0,0.0,Paid,75,"1,414"
CRYPTO LADY,channel/UCyvo2BDJwcflkXbtJopdXoA,"148,000",27790,2.0,10.0,100.0,0.0,Paid,"8,195","8,195"
Crypto Lee,channel/UCrG3Xbd1TGAPTYHdD9b6qzA,"71,700",26485,0.0,0.0,0.0,0.0,Paid,0,"52,576"
CRYPTO LIFE,channel/UCPC3f6oAGifVPbB84dnVTeg,"11,700",26177,0.0,0.0,0.0,10.0,Paid,745,"13,245"
Crypto Max,channel/UCJsvz6txs-9PbWm16vdcBxA,"2,790",27873,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Crypto Mighelle,channel/UCmnT9QT1yU9XApYPKLgqgQw,"36,000",26876,0.0,0.0,0.0,0.0,Paid,0,"7,517"
Crypto Milovat,channel/UC1m4iyFxdsGg_Sp2sR8hAwg,792,27984,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Crypto Miner,channel/UCXxc5vHMY7J0qIJUaFLMEZQ,"64,900",27950,0.0,0.0,100.0,25.0,Paid,"9,313","9,313"
Crypto News,channel/UC3tlXbW8appBctZUuA0JMOQ,"1,050",28033,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Crypto Pepe,channel/UCTDs_fS45YWE8JxRWpT7IcQ,"67,000",26821,3.0,15.0,0.0,0.0,Paid,"1,118","30,704"
Crypto Planet,channel/UCldDBIsMwtE-4bAAFBPd3yA,"2,400",27351,0.0,0.0,0.0,0.0,Paid,0,"1,218"
Crypto platform,channel/UCTavOTxu3Vi8-jvYQGL0TJA,"24,100",26787,0.0,0.0,0.0,0.0,Paid,0,"9,941"
Crypto Profit,channel/UC7Ur1JsjMcqikYg09dunhsQ,"107,000",28048,0.0,0.0,100.0,0.0,Paid,"7,450","7,450"
CRYPTO PROJECTS,channel/UCg7nPTkh-1pwPzZ5d7ty4Lg,259,26373,0.0,0.0,0.0,0.0,Paid,0,"5,000"
CRYPTO PULSE,channel/UCEaobf3T2KFWj71spA8GZPQ,139,26662,4.0,3.0,0.0,0.0,Paid,224,"4,672"
Crypto raki,channel/UCY1j4XSuAyFqEtSQqhUjICw,207,26690,0.0,0.0,0.0,0.0,Paid,0,"3,921"
Crypto Retriever,channel/UC_D14rRbluQP-JhiMWvx2PQ,"13,500",26845,0.0,0.0,0.0,0.0,Paid,0,"5,783"
CRYPTO RINA,channel/UCHX6DiG-13v1W4s5QgRZ0vw,"1,980",26603,3.0,3.0,0.0,0.0,Paid,224,"26,593"
"CRYPTO ROM - криптовалюта, финансы и заработок",channel/UCA_NV7rWc0etEoaujxT5Fsw,690,26520,0.0,0.0,0.0,0.0,Paid,0,"19,193"
Crypto Shark,channel/UCgRj_t6gFdVLm48c-mrVbJg,"73,500",26636,0.0,0.0,0.0,0.0,Paid,0,"24,587"
Crypto Sheff,channel/UCYTur8Idl9srcmksclRbVkw,"77,400",26561,0.0,0.0,0.0,0.0,Paid,0,"21,688"
Crypto Shved,channel/UCycHmdU0zYg5MJXMoIsT6JA,731,27859,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Crypto Soul,channel/UCDwD6eGzuDhFqahH73RP-2w,"31,700",27954,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
Crypto Star 105,channel/UCJwucJOOYS1F4NeGIR-__6A,"16,200",27475,0.0,0.0,0.0,0.0,Paid,0,"3,047"
CRYPTO STUDIO 23,channel/UCklXE7EgY8DlBWzEiwUTI5Q,"19,600",26754,0.0,0.0,0.0,0.0,Paid,0,"18,264"
Crypto Svitlana,channel/UCZbldZQZZQQkWhGl3SQUpSQ,502,26809,1.0,1.0,0.0,0.0,Paid,75,"4,540"
CRYPTO TIMES,channel/UC7q7TvmFkCF7ZpCjB1E2C-A,922,26830,3.0,3.0,0.0,0.0,Paid,224,"6,913"
Crypto Unveiled,channel/UCLM_Y5m1Vug6Ytr0I2stq9w,804,26226,2.0,2.0,0.0,0.0,Paid,149,"42,501"
Crypto Variety,channel/UCG2lmsR6Vv1Pe2txpRHyuZw,"17,900",26556,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
Crypto Variety,channel/UCG2lmsR6Vv1Pe2txpRHyuZw,"17,900",26496,0.0,0.0,0.0,0.0,Paid,0,"22,727"
CRYPTO WEB,channel/UC09Mpp1_R2iqFRsI2sCs01w,"1,430",27980,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Crypto with Tommy,channel/UCjdvmcZcw6bQS5cVpZ6KfJQ,"8,760",27624,1.0,2.0,0.0,125.0,Paid,"9,462","12,509"
crypto wolf,channel/UClUrTKN3OXOuJyJrRGx15Ug,"56,900",27916,0.0,0.0,100.0,0.0,Paid,"7,692","7,692"
Crypto World,channel/UCq4nMYc0nKGOFmqIQRoIXkA,"182,000",27945,0.0,0.0,100.0,0.0,Paid,"7,450","7,450"
Crypto World,channel/UChujlfQzZ02OPSTjPtjqfDg,"1,210",27747,1.0,1.0,20.0,0.0,Paid,"1,565","1,564"
Crypto World,channel/UCeL_3I6AAh6Kd_8vfK2e-Tg,"1,160",27863,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
CRYPTO ГИК,channel/UCGvWPlI1walFKRFTFhoLX8g,"1,490",27330,0.0,0.0,0.0,0.0,Paid,0,"1,828"
CRYPTO_FATHER,channel/UC4Eav1yMV7_kCUEtnUi-PDg,"17,700",27082,0.0,0.0,0.0,0.0,Paid,0,"5,783"
Crypto_K1ng,channel/UC9t4NQe7hQ1Se6Aa9X5VdZQ,535,26294,1.0,1.0,0.0,0.0,Paid,77,"31,974"
Crypto4light Low Cap,channel/UCv-FN2BNG0DQ61QyPbnMjsA,"5,520",26757,1.0,2.0,0.0,0.0,Paid,149,"9,281"
Crypto4light Market,channel/UCq_djmBJhZo5t7_YGk8hhjg,"3,120",26760,5.0,3.0,0.0,0.0,Paid,224,"7,873"
cryptoact,channel/UCYmpZJyfXz3Bz3xYKqm2E6A,"1,140",26484,1.0,1.0,0.0,0.0,Paid,75,"23,554"
CryptoBD School,channel/UCBnMJqWibBtzElsKQ9sGkIg,"3,290",27783,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Cryptobiznes,channel/UCkKyva-IkKPG5o8jyl7RBZQ,768,27882,0.0,0.0,20.0,65.0,Paid,"6,333","6,332"
CryptoBOOM - заработок без вложений,channel/UCRJr1Ke5wFIAcKLLjccoJ5A,"2,030",26304,0.0,0.0,0.0,0.0,Paid,0,"5,000"
CryptoCrafter,channel/UCnasCo4UG84TVZke7bHJrHg,470,26184,0.0,0.0,0.0,0.0,Paid,0,"14,549"
CryptoCrazyMan,channel/UCQcP2esw55_d-1r9gmjV3EQ,529,26763,0.0,0.0,0.0,0.0,Paid,0,"5,915"
Cryptocurrency Free,channel/UCj6GeGiKuZR83uv_283Ihhw,243,26791,1.0,1.0,0.0,0.0,Paid,75,"5,581"
Cryptogains,channel/UCO8kVMQ5YWqLA_NITYR6Fkw,"1,680",27634,0.0,0.0,0.0,0.0,Paid,0,"1,218"
CryptoInvestor,channel/UCUjgSFoW1XhFxaYpdC-TGPA,"148,000",26510,0.0,0.0,0.0,0.0,Paid,0,"100,446"
CRYPTOK3SH,channel/UCywTLeUAlTdK8-FhuU8zgww,106,26372,0.0,0.0,0.0,20.0,Paid,"1,538","8,671"
CRYPTOLAND,channel/UCmnPerGbwOJA2ncnzguPovw,"15,400",26871,3.0,6.0,0.0,0.0,Paid,447,"11,677"
CryptoLapochka,channel/UCxp909G_ms65Ecut1eNkHVA,"72,500",27781,0.0,0.0,100.0,0.0,Paid,"7,450","7,450"
CRYPTOLORE,channel/UCkMxXxO38-V-dyqZkdWafPw,"118,000",26512,3.0,15.0,0.0,0.0,Paid,"1,154","77,872"
CryptoMax Airdrop&Bounty,channel/UCbRY27FxFSzbbnVfLH6Z7ZQ,"1,080",27848,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
"cryptomonKeys - Free NFTs, Fairly Distributed",channel/UCL1jxazX8KLST7ntLiftP0w,"1,220",27801,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
CryptoNick,channel/UCTYNeqEcVDHCgcbPT0zvB5g,"3,200",26057,2.0,2.0,0.0,0.0,Paid,149,"14,260"
Cryptoon,channel/UCKsTKoNOFCSsHeKiQ8pWCDw,"1,860",26279,0.0,0.0,0.0,10.0,Paid,769,"25,875"
cryptoozkan,channel/UCRQp_UeIeewRRjxpQjdW58Q,"6,670",27845,0.0,0.0,50.0,0.0,Paid,"3,725","3,725"
CryptoPM,channel/UCOxBUBKIrtxrUEWgl9KQluA,"62,800",26569,1.0,5.0,0.0,0.0,Paid,373,"18,028"
Cryptor,channel/UCU2jqei6GZGOfvekDZU6AuQ,"28,300",26324,0.0,0.0,0.0,0.0,Paid,0,"13,430"
cryptosign,channel/UCGqkXFvVBbZniT9JQaDFu8w,"31,100",27699,0.0,0.0,0.0,0.0,Paid,0,"3,169"
Cryptosorium,channel/UCLkIEzFaJ9OPCeVBXsirHuA,564,27778,2.0,2.0,20.0,0.0,Paid,"1,639","1,639"
CryptoSweeT Company,channel/UCNIkqPi-UD5pimJY75JgEOQ,155,26675,0.0,0.0,0.0,0.0,Paid,0,"4,961"
CryptoTime ,channel/UChQ2QwGks4ZQkFzb6kDE23A,"21,200",26492,0.0,0.0,0.0,0.0,Paid,0,"22,727"
CryptoToloka,channel/UCryB98FzjZ3KbhdVjCSGYsw,"1,360",26276,0.0,0.0,0.0,0.0,Paid,0,"9,764"
CryptoTube,channel/UCn24mXbKxpPE3oNcs_Cohdg,"1,430",27371,0.0,0.0,0.0,10.0,Paid,745,"1,963"
Cryptoverse,channel/UCpKBv7oQf1debJOMSccDheA,"16,900",27524,0.0,0.0,0.0,0.0,Paid,0,"3,047"
CryptoView,channel/UC4toQkkJ6_rxuh-QzzHqrYw,"88,700",26275,1.0,5.0,0.0,0.0,Paid,385,"60,430"
DanMax,channel/UCwXLtFo-jdEj2Ru26gmsrrg,"4,380",26973,1.0,1.0,0.0,0.0,Paid,75,"3,428"
DeFi Ascension,channel/UCnx0s2QlUgTrkPxNDWQdqFQ,"2,300",25914,2.0,2.0,0.0,0.0,Paid,149,"16,470"
defigen,channel/UC-jcoJHLP9IlzjDs2jt1g4A,"6,120",26152,0.0,0.0,0.0,0.0,Paid,0,"17,990"
Dimantyay&Crypto,channel/UCmwfyNIkMHGDha8y9qxMq8g,102,27184,1.0,1.0,0.0,0.0,Paid,75,"3,610"
Dmytro Kraivskyi | Cryptonit,channel/UCUYH2JZ6evdS4CzARwc2obQ,"23,300",26256,0.0,0.0,0.0,0.0,Paid,0,"81,693"
Dmytro777,channel/UCSy1Q0IK5raxbqNk6_wXnrQ,109,22156,0.0,0.0,0.0,0.0,Paid,0,"6,470"
DOUBLETOP,channel/UCdvuYT--R9DlEGDImbzXu-w,"68,200",26422,1.0,5.0,0.0,0.0,Paid,385,"98,308"
Drops Easy,channel/UCqL6Yozn5jO-7nao7mhvSyA,"1,160",26742,0.0,0.0,0.0,0.0,Paid,0,"5,479"
DYOR,channel/UCX568eIVcex6k_Z_F4zWxDA,64,27331,2.0,2.0,0.0,0.0,Paid,149,"1,367"
EAZY CSALPING - КРИПТОВАЛЮТА,channel/UCZxVg_-jxTJ_uqMEGZL1ZKg,"12,600",26277,0.0,0.0,0.0,0.0,Paid,0,"23,947"
EnjoyMaloy,channel/UCEgqBmHS4TSYYPqYWR7MkRA,"223,000",26729,0.0,0.0,0.0,0.0,Paid,0,"25,507"
Evgeniy May,channel/UCCyXluCtH3Pm-6VaDthZjEg,"12,900",26728,3.0,6.0,0.0,0.0,Paid,447,"20,353"
Farrag kng,channel/UCRgeE2TTNWwLV_rvoR0uprw,55,27611,0.0,0.0,0.0,0.0,Paid,0,"1,218"
FINANCENEWS,channel/UCJa8t01Xql8fQCoMTBaLq6w,951,27981,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
Flash Cash,channel/UCouVb9db41hnaWt7RF5cc0Q,"110,000",25947,1.0,5.0,0.0,0.0,Paid,372,"2,972"
Flash Verse,channel/UCppMkXqJJcywvf2g782lcHg,"212,000",26491,0.0,0.0,0.0,0.0,Paid,0,"47,188"
FLICKET CRYPTO,channel/UCcBiTzxaTvZyYevT4IFAOTA,"93,900",26808,2.0,10.0,0.0,0.0,Paid,745,"23,790"
Floating Monkey,channel/UCi0xEPi3qDuawHqBeiMyq8w,74,26261,0.0,0.0,0.0,0.0,Paid,0,"9,427"
fomen,channel/UCRvwZx17tIJnQh5yzK49Kmw,514,27314,2.0,2.0,0.0,0.0,Paid,149,"1,550"
Forum Crypto Moonlight ,channel/UC2OUYGcE5Q-AOraHx75ga0w,"1,120",27772,2.0,2.0,20.0,0.0,Paid,"1,639","1,639"
FredMiner ,channel/UCASYY3y4Iv9CIUQgwkfEvpA,"1,770",27359,0.0,0.0,0.0,0.0,Paid,0,"1,218"
Free Crypto,channel/UCqDu5CByuvEOYNV135t7-4Q,702,26833,0.0,0.0,0.0,0.0,Paid,0,"2,660"
FREEDOOM,channel/UCFTLeWV8iJTjn1Pv_dSCj-w,113,22521,0.0,0.0,0.0,0.0,Paid,0,"47,016"
funny_men78,channel/UCsCPOBjyK0e5e1Sh9V7itHA,987,26532,0.0,0.0,0.0,0.0,Paid,0,520
GARIBALD NFT,channel/UCuyexsz7Uip9szsycVs015Q,521,27823,0.0,0.0,20.0,0.0,Paid,"1,490","1,490"
GEM ZONE,channel/UC1vdmx6PsycoSyrPUiLFxGQ,"120,000",26623,0.0,0.0,0.0,0.0,Paid,0,"19,086"
