Channel Title,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Latest YPP Reward Status,Latest Overall YPP Reward in JOY,Total YPP Rewards in JOY
Crypto Barry,"128,000",29373,0,0,50,0,Paid,"1,881","1,880"
CRYPTO BASH,"6,360",27807,0,0,0,0,Paid,0,"3,725"
Crypto Bitcoin,"1,590",28334,2,2,0,0,Paid,75,"4,110"
Crypto bitcoine ,"1,390",28994,0,0,0,0,Paid,0,430
Crypto Bolt,"92,800",29421,0,0,40,0,Paid,"1,504","1,504"
Crypto Boomer,"22,500",26818,3,6,0,0,Paid,226,"41,552"
Crypto Borland,143,27952,0,0,0,0,Paid,0,"1,490"
Crypto Boy Master,"13,500",27942,0,0,0,0,Paid,0,"4,967"
Crypto boy T1,"21,300",27870,0,0,0,0,Paid,0,"9,459"
Crypto BTalarmus,"1,270",28596,0,0,0,0,Paid,0,632
CRYPTO BULLSEYE,"4,590",25965,1,1,0,0,Paid,38,"47,477"
CRYPTO CASH - كريبتو كاش,688,28297,1,0,0,0,Paid,0,316
Crypto Christopher,"134,000",28103,0,0,0,0,Paid,0,"6,572"
Crypto City,"160,000",29399,0,0,50,0,Paid,"1,881","1,880"
Crypto Clarity,601,25773,1,0,0,0,Paid,0,"86,248"
Crypto Cloxik | Крипто заработок & KTA гильдия,589,28564,1,0,0,0,Paid,0,316
Crypto Coin Show,"84,800",26568,2,8,0,0,Paid,301,"44,000"
CRYPTO CORE RAKIB,"1,190",25850,0,0,0,0,Paid,0,"27,932"
Crypto Credo,"21,100",29215,6,6,20,0,Paid,978,977
Crypto Crow,"142,000",28016,3,15,0,0,Paid,564,"9,662"
Crypto Currents,57,26195,0,0,0,0,Paid,0,"5,000"
Crypto Demiurg,"3,920",26297,0,0,0,0,Paid,0,"5,178"
Crypto Deni,"8,960",28193,0,0,0,0,Paid,0,"3,129"
CRYPTO DILLER,106,26522,0,0,0,0,Paid,0,"12,273"
CRYPTO DOKTOR,"1,030",27075,0,0,0,0,Paid,0,"2,919"
CRYPTO DYOR,449,27550,0,0,0,0,Paid,0,"1,218"
CRYPTO Dz Boy,"6,360",28779,0,0,0,0,Paid,0,"1,264"
Crypto earner baba ,"14,100",28076,0,0,0,0,Paid,0,"3,380"
CRYPTO ERA,"1,890",27779,1,1,0,0,Paid,38,"1,692"
Crypto Fanat,"103,000",26486,1,5,0,0,Paid,188,"85,274"
Crypto Fish Network,510,27469,4,0,0,0,Paid,0,"1,600"
Crypto Flash,"32,300",25948,0,0,0,0,Paid,0,"11,249"
CRYPTO FLOWING,"8,780",27808,0,0,0,0,Paid,0,"3,725"
Crypto Franchise,"1,420",28899,11,3,0,15,Paid,677,"1,387"
Crypto Gamer,"2,520",28562,0,0,0,0,Paid,0,632
Crypto Genius,"1,000",26766,0,0,0,0,Paid,0,"7,590"
Crypto Goose,551,27105,0,0,0,0,Paid,0,"3,067"
Crypto Groot,778,27414,0,0,0,0,Paid,0,"1,218"
Crypto Hamster,"7,130",26227,0,0,0,0,Paid,0,"18,696"
Crypto House,"109,000",26503,1,5,0,0,Paid,188,"32,061"
crypto hunter - صائد العملات الرقمية,"13,600",28199,3,6,0,0,Paid,226,"4,253"
CRYPTO HUNTERS,"5,300",28837,0,0,0,0,Paid,0,"1,264"
CRYPTO HYPE,"2,790",28164,0,0,0,0,Paid,0,"1,251"
CRYPTO IN,"31,900",27485,10,9,0,0,Paid,339,"16,657"
Crypto INSIDE,"1,540",26105,2,2,0,0,Paid,75,"33,611"
Crypto Inversor,167,26667,3,0,0,0,Paid,0,"6,941"
crypto islands,"1,410",28187,0,0,0,0,Paid,0,"1,251"
Crypto Kaha,"31,700",26498,1,3,0,0,Paid,113,"39,386"
Crypto Kernels,"1,690",25955,0,0,0,0,Paid,0,"10,104"
Crypto King,"1,020",29041,1,1,0,0,Paid,38,506
Crypto king,505,28312,0,0,0,0,Paid,0,316
Crypto Kupec,977,27283,0,0,0,0,Paid,0,"1,476"
CRYPTO LADY,"156,000",27790,1,5,0,0,Paid,188,"9,597"
Crypto Lee,"71,700",26485,1,4,0,0,Paid,150,"53,194"
CRYPTO LIFE,"11,700",26177,0,0,0,0,Paid,0,"13,245"
CRYPTO LIVE,"1,690",28161,0,0,0,0,Paid,0,"1,251"
Crypto Locker X,"18,400",28848,0,0,0,0,Paid,0,"1,264"
Crypto Luciana,"130,000",28825,0,0,0,0,Paid,0,"3,160"
Crypto M Profit ,"98,900",28595,3,12,0,0,Paid,451,"5,208"
CRYPTO MARKETING OFFICIAL',"1,560",29232,1,1,10,0,Paid,414,413
CRYPTO MASTER,"37,000",29280,1,3,30,0,Paid,"1,241","1,241"
Crypto Master TV,"48,300",28742,1,3,0,0,Paid,113,"2,008"
Crypto Max,"2,780",27873,0,0,0,0,Paid,0,"1,490"
Crypto Max ,"61,400",28063,0,0,0,0,Paid,0,"6,259"
Crypto Mezox,"1,660",28847,3,3,0,0,Paid,113,744
Crypto Mighelle,"36,000",26876,2,6,0,0,Paid,226,"11,113"
Crypto Milovat,793,27984,0,0,0,0,Paid,0,"1,490"
Crypto Miner,"64,700",27950,0,0,0,0,Paid,0,"14,272"
Crypto Money - للعملات والأرباح,"2,290",28782,6,3,0,0,Paid,113,744
Crypto Money Machine,"2,270",28400,0,0,0,0,Paid,0,"1,390"
CRYPTO MOON,"87,100",29371,0,0,40,0,Paid,"1,504","1,504"
Crypto News,"1,050",28033,0,0,0,0,Paid,0,"1,490"
Crypto Normally,"1,560",28005,1,1,0,0,Paid,38,864
Crypto Ocean,"7,180",28178,0,0,0,0,Paid,0,"3,129"
Crypto Panther,"4,180",28416,0,0,0,0,Paid,0,632
Crypto Pepe,"67,000",26821,0,0,0,0,Paid,0,"31,328"
Crypto Phantom - Karl James Olivar,"16,400",29248,2,4,20,10,Paid,"1,279","1,278"
Crypto Pharaoh,"403,000",29204,0,0,50,0,Paid,"1,881","1,880"
Crypto Planet,"2,400",27351,0,0,0,0,Paid,0,"1,343"
Crypto platform,"24,100",26787,0,0,0,0,Paid,0,"10,144"
Crypto Pratik,"3,180",28845,1,1,0,3,Paid,113,822
Crypto Pratik Shorts,61,29176,0,0,5,0,Paid,188,188
Crypto Profit,"107,000",28048,0,0,0,0,Paid,0,"8,469"
CRYPTO PROJECTS,257,26373,0,0,0,0,Paid,0,"5,000"
CRYPTO PULSE,141,26662,1,0,0,0,Paid,0,"4,734"
Crypto raki,215,26690,0,0,0,0,Paid,0,"3,921"
Crypto Retriever,"13,500",26845,0,0,0,0,Paid,0,"5,783"
CRYPTO RINA,"1,970",26603,3,3,0,0,Paid,113,"27,198"
"CRYPTO ROM - криптовалюта, финансы и заработок",783,26520,2,0,0,0,Paid,0,"19,380"
Crypto Samurai,"163,000",29354,0,0,50,0,Paid,"1,881","1,880"
Crypto Shark,"73,500",26636,0,0,0,0,Paid,0,"24,587"
Crypto Sheff,"77,400",26561,0,0,0,0,Paid,0,"21,688"
Crypto Shved,728,27859,0,0,0,0,Paid,0,"1,490"
Crypto Soul,"31,600",27954,0,0,0,0,Paid,0,"8,149"
Crypto Spaces,"5,840",29037,4,6,0,0,Paid,226,"1,242"
Crypto Star 105,"16,200",27475,1,2,0,0,Paid,75,"3,248"
CRYPTO STUDIO 23,"19,600",26754,0,0,0,0,Paid,0,"18,264"
Crypto Svitlana,523,26809,2,0,0,0,Paid,0,"4,665"
Crypto Talks-Blockchain & Gamefi,"66,300",29109,0,0,0,0,Paid,0,"1,564"
CRYPTO TIMES,"1,040",26830,7,3,0,0,Paid,113,"7,518"
Crypto Triada,570,28145,0,0,0,0,Paid,0,"1,439"
Crypto Unveiled,902,26226,3,0,0,0,Paid,0,"42,563"
Crypto USDT Boss,"7,580",28852,0,0,0,0,Paid,0,"1,498"
Crypto Variety,"17,800",26556,0,0,0,0,Paid,0,"3,725"
Crypto Variety,"17,900",26496,0,0,0,0,Paid,0,"22,727"
Crypto Verse,"2,080",28268,0,0,0,0,Paid,0,"1,896"
"CRYPTO VZOR - Криптовалюта, трейдинг, NFT",209,28174,0,0,0,0,Paid,0,"1,377"
CRYPTO WEB,"1,430",27980,0,0,0,0,Paid,0,"1,490"
Crypto Webz,299,28140,0,0,0,0,Paid,0,"1,567"
Crypto whales,"5,910",29081,0,0,0,0,Paid,0,860
Crypto with Erina ,0,28077,0,0,0,0,Paid,0,"3,254"
Crypto with Tommy,"8,750",27624,0,0,0,0,Paid,0,"13,879"
crypto wolf,"1,670",28788,3,3,0,0,Paid,113,744
crypto wolf,"56,900",27916,0,0,0,0,Paid,0,"8,666"
Crypto World,"182,000",27945,2,10,0,0,Paid,376,"9,982"
Crypto World,"1,220",27863,1,1,0,0,Paid,38,"1,856"
Crypto World,"1,230",27747,1,1,0,0,Paid,38,"1,640"
CRYPTO ГИК,"1,530",27330,0,0,0,0,Paid,0,"1,890"
CRYPTO ЧАЙНИК,"3,930",28555,0,0,0,0,Paid,0,632
CRYPTO-Inversiones & Trades,"1,070",29082,3,3,0,0,Paid,113,581
Crypto4light Low Cap,"5,550",26757,2,4,0,0,Paid,150,"9,964"
Crypto4light Market,"3,350",26760,6,3,0,0,Paid,113,"8,478"
CRYPTO_FATHER,"17,700",27082,0,0,0,0,Paid,0,"5,783"
Crypto_K1ng,535,26294,0,0,0,0,Paid,0,"32,099"
cryptoact,"1,170",26484,0,0,0,0,Paid,0,"23,781"
CryptoBD School,"3,290",27783,3,3,0,0,Paid,113,"2,905"
CryptoBD SUPPORT,"1,280",28266,0,0,0,0,Paid,0,632
Cryptobiznes,833,27882,0,0,0,0,Paid,0,"6,648"
CryptoBOOM - заработок без вложений,"2,030",26304,0,0,0,0,Paid,0,"5,000"
CryptoCrafter,469,26184,0,0,0,0,Paid,0,"14,549"
CryptoCrazyMan,548,26763,2,0,0,0,Paid,0,"5,977"
Cryptocurrency and mining,16,29205,0,0,5,0,Paid,188,188
Cryptocurrency Free,243,26791,0,0,0,0,Paid,0,"5,581"
Cryptocurrency Tamil Guru,"13,900",28165,0,0,0,0,Paid,0,"4,393"
CryptoFermer,"17,000",28451,0,0,0,0,Paid,0,"1,264"
Cryptogains,"1,680",27634,0,0,0,0,Paid,0,"1,218"
CryptoIngener,"2,840",28697,0,0,0,0,Paid,0,632
CryptoInvestor,"148,000",26510,0,0,0,0,Paid,0,"100,446"
CRYPTOK3SH,107,26372,0,0,0,0,Paid,0,"8,671"
CRYPTOLAND,"15,400",26871,4,6,0,0,Paid,226,"12,890"
CryptoLapochka,"90,500",27781,2,8,0,0,Paid,301,"13,963"
CRYPTOLOGIST,"100,000",28156,2,8,0,0,Paid,301,"7,220"
CRYPTOLORE,"118,000",26512,2,10,0,0,Paid,376,"79,583"
CryptoManiaUA,183,29268,2,0,5,0,Paid,188,188
CryptoMax Airdrop&Bounty,"1,070",27848,0,0,0,0,Paid,0,"1,490"
"cryptomonKeys - Free NFTs, Fairly Distributed","1,220",27801,0,0,0,0,Paid,0,"1,490"
Crypton,"1,030",28613,0,0,0,0,Paid,0,632
CryptoNick,"3,660",26057,1,1,0,0,Paid,38,"14,587"
Cryptonite,"25,500",28278,0,0,0,0,Paid,0,"2,130"
Cryptoon,"1,870",26279,0,0,0,0,Paid,0,"25,875"
cryptoozkan,"8,700",27845,1,2,0,0,Paid,75,"8,080"
CryptoPM,"62,700",26569,3,12,0,0,Paid,451,"19,921"
CryptoPositive,"103,000",28974,0,0,0,0,Paid,0,"1,956"
Cryptor,"28,300",26324,0,0,0,0,Paid,0,"13,430"
CryptoShock,"1,200",28569,0,0,0,0,Paid,0,632
cryptosign,"31,000",27699,0,0,0,0,Paid,0,"4,089"
Cryptosorium,622,27778,1,0,0,0,Paid,0,"1,764"
CryptoSweeT Company,156,26675,1,0,0,0,Paid,0,"4,961"
CryptoTime ,"21,100",26492,0,0,0,0,Paid,0,"22,727"
CryptoToloka,"1,400",26276,0,0,0,0,Paid,0,"9,827"
CryptoTrainer,"29,300",28223,0,0,0,0,Paid,0,"3,318"
CryptoTube,"1,430",27371,0,0,0,0,Paid,0,"2,089"
Cryptoverse,"16,900",27524,0,0,0,0,Paid,0,"3,047"
CRYPTOVEST,"10,900",28960,0,0,0,0,Paid,0,860
CryptoView,"91,000",26275,0,0,0,0,Paid,0,"60,994"
CryptoVN Channel,"121,000",28720,1,5,0,0,Paid,188,"3,348"
CryptoZombies,"2,910",28254,2,2,0,0,Paid,75,"1,834"
CVN Group,"132,000",29064,0,0,0,3,Paid,75,"2,422"
D-Group Gems,"43,000",28213,1,3,0,20,Paid,865,"7,950"
DanMax,"4,450",26973,1,1,0,0,Paid,38,"3,629"
DARK CRYPTO,694,29343,1,0,5,5,Paid,376,376
Đầu tư thông minh ist,752,29210,5,0,5,0,Paid,188,188
DeFi Ascension,"2,340",25914,1,1,0,0,Paid,38,"17,000"
defigen,"6,170",26152,0,0,0,0,Paid,0,"17,990"
Dexter Plays PH,"69,500",29315,1,4,40,0,Paid,"1,655","1,654"
DIỆU LY CHANNEL,"51,300",29061,0,0,0,50,Paid,"1,881","6,965"
Dil Ki Awaz,"11,300",28354,0,0,0,0,Paid,0,"4,424"
Dimantyay&Crypto,157,27184,0,0,0,0,Paid,0,"3,672"
Dmytro Kraivskyi | Cryptonit,"23,600",26256,1,2,0,0,Paid,75,"82,097"
Dmytro777,109,22156,0,0,0,0,Paid,0,"6,470"
DOUBLETOP,"68,200",26422,2,8,0,0,Paid,301,"100,147"
DreamQ,"2,490",28456,1,1,0,0,Paid,38,708
DripCoach - C.H.A.N.G.E. 360,"5,080",28846,10,6,0,0,Paid,226,"3,493"
Drops Easy,"1,150",26742,0,0,0,0,Paid,0,"6,111"
DYOR,87,27331,0,0,0,0,Paid,0,"1,367"
Earn World,"1,070",28786,5,3,0,0,Paid,113,861
Earning digital currencies,"5,510",28191,8,6,0,0,Paid,226,"4,283"
Earning Official 24,"5,620",29294,2,4,20,0,Paid,903,902
Earning Point,993,28464,0,0,0,0,Paid,0,316
Earningistic 5M,"2,820",28605,7,3,0,0,Paid,113,"1,871"
EAZY CSALPING - КРИПТОВАЛЮТА,"12,900",26277,0,0,0,0,Paid,0,"24,198"
ECOINOMICA,"20,500",28186,0,0,0,0,Paid,0,"4,107"
EMOTION,"10,200",28141,0,0,0,0,Paid,0,"3,570"
ENCRYPTOCK,"3,640",28790,0,0,0,0,Paid,0,"1,023"
EnjoyMaloy,"225,000",26729,1,5,0,0,Paid,188,"26,011"
Evgeniy May,"13,000",26728,4,6,0,0,Paid,226,"21,488"
farag ahmed,57,28074,0,0,0,0,Paid,0,"1,877"
Farrag kng,55,27611,0,0,0,0,Paid,0,"1,218"
FINANCENEWS,941,27981,0,0,0,0,Paid,0,"1,490"
Flash Cash,"110,000",25947,0,0,0,0,Paid,0,"3,870"
Flash Verse,"211,000",26491,1,5,0,0,Paid,188,"47,571"
FLICKET CRYPTO,"93,700",26808,0,0,0,0,Paid,0,"23,946"
Floating Monkey,73,26261,0,0,0,0,Paid,0,"9,427"
fomen,594,27314,2,0,0,0,Paid,0,"1,737"
Forum Crypto Moonlight ,"1,110",27772,0,0,0,0,Paid,0,"1,678"
FRED4TECH,936,28217,0,0,0,0,Paid,0,
FredMiner ,"1,870",27359,0,0,0,0,Paid,0,"1,523"
Free Crypto,"4,690",28287,6,3,0,0,Paid,113,"4,848"
Free Crypto,701,26833,0,0,0,0,Paid,0,"2,660"
Free Earning help,411,28418,0,0,0,0,Paid,0,316
free money profit,649,28654,0,0,0,0,Paid,0,316
FREEDOOM,110,22521,0,0,0,0,Paid,0,"47,203"
FullPlay,"3,400",28331,0,0,0,0,Paid,0,430
funny_men78,981,26532,0,0,0,0,Paid,0,520
Game of Bitcoins | गेम ऑफ़ बिटकॉइंस,"87,200",28429,2,8,0,0,Paid,301,"8,110"
Game Of Crypto,99,28801,1,0,0,0,Paid,0,316
GARIBALD NFT,520,27823,0,0,0,0,Paid,0,"1,490"
GEM ZONE,"120,000",26623,0,0,0,0,Paid,0,"20,027"
Ghosts,132,28661,1,0,0,0,Paid,0,"2,148"
Go To Work,"47,900",26502,0,0,0,0,Paid,0,"27,044"
GOLDEGA,"12,600",26746,0,0,0,0,Paid,0,"10,187"
GOLTEN,"1,300",27437,0,0,0,0,Paid,0,"1,553"
Gyan Shadow,"6,470",25942,0,0,0,0,Paid,0,"16,926"
Hamsters In crypto,"4,100",28427,0,0,0,0,Paid,0,632
Happy24 Club,"4,920",26281,0,0,0,0,Paid,0,"7,106"
Hard Rock Crypto,"18,600",29144,2,4,0,0,Paid,150,"1,010"
HashOnTube,"5,070",25954,1,2,0,0,Paid,75,"18,973"
HelpInvest,"3,160",26736,0,0,0,0,Paid,0,"3,714"
HIMAR LIVE,304,28189,0,0,0,0,Paid,0,"1,251"
Hitasyurek,"1,660",26635,0,0,0,0,Paid,0,"3,921"
Hoàng Giang Share,"288,000",29187,1,5,50,0,Paid,"2,069","2,068"
Hoàng Văn Giang,"178,000",29186,1,5,50,0,Paid,"2,069","2,068"
Hussein Crypto,"5,820",28285,0,0,0,0,Paid,0,"2,780"
Hype Fox,"40,600",26495,0,0,0,0,Paid,0,"23,092"
Ian Balina,"107,000",27907,0,0,0,0,Paid,0,"11,175"
IBRAHIM'S CUISINE AND VLOGS,"2,120",28355,0,0,0,0,Paid,0,632
iBTC365club,"2,360",27877,0,0,0,0,Paid,0,"1,490"
ICO PROJECTS,539,28282,0,0,0,0,Paid,0,"6,575"
ICO today,"1,370",26191,0,0,0,0,Paid,0,"5,000"
ICOline,"1,730",26748,0,0,0,0,Paid,0,"3,652"
ide uang,"125,000",28173,5,15,0,0,Paid,564,"9,302"
Il Marchese Del Crypto,"11,100",29148,6,6,0,0,Paid,226,"1,085"
inchpes gumar ashxatel internetov - InteRPRO,"4,930",27342,9,3,0,0,Paid,113,"2,229"
infoenot,"1,440",27503,0,0,0,0,Paid,0,"1,218"
Infosite - только лучшие сайты,"58,000",26678,3,12,0,0,Paid,451,"70,141"
INFOtime,"120,000",28143,2,10,0,0,Paid,376,"8,479"
inhabitants,419,27856,0,0,0,0,Paid,0,"1,490"
Insane on Crypto,"11,400",28475,4,6,0,0,Paid,226,"3,161"
INTER БАБКИ,175,26839,0,0,0,0,Paid,0,"3,835"
Internetda pul ishlash,"1,530",27441,3,3,0,0,Paid,113,"1,642"
invesmets ,"6,720",26487,0,0,0,0,Paid,0,"25,732"
Invest in the right place,733,28378,3,0,0,0,Paid,0,316
InvestDecentralized,56,21874,0,0,0,0,Paid,0,"15,500"
INVESTHACKMAN,125,27032,0,0,0,0,Paid,0,"2,313"
Investing in cryptocurrency,"1,630",28877,1,1,0,0,Paid,38,669
INVESTKIT,"2,910",27834,0,0,0,0,Paid,0,"1,827"
InvestМания - CryptoCurrency,"168,000",28915,0,0,0,0,Paid,0,"1,956"
Ivandro Josefh,324,27499,0,0,0,0,Paid,0,"1,218"
Jabed Crypto,"108,000",27918,0,0,0,0,Paid,0,"7,450"
Japz Divino,"38,900",28200,0,0,0,45,Paid,"1,693","4,821"
Jess Turner,"90,400",28820,0,0,0,0,Paid,0,"2,528"
João Farias FX,"18,800",26964,0,0,0,0,Paid,0,"7,642"
JohnnyTime,"19,800",29338,1,2,20,0,Paid,827,827
Josh Miller Crypto,"7,100",27239,0,0,0,0,Paid,0,"4,720"
Juliano,"23,200",28207,1,2,0,0,Paid,75,"3,282"
Juliano,"23,300",26494,1,2,0,0,Paid,75,"29,131"
Katoch Tubes,"20,100",29092,7,6,0,0,Paid,226,"1,085"
KeepCrypto,355,26411,0,0,0,0,Paid,0,"5,000"
Kelburn Token,"6,920",26806,0,0,0,0,Paid,0,"9,132"
Kiran crypto,"1,530",29364,3,3,10,0,Paid,489,488
Knowledge is power,"1,430",28360,0,0,0,0,Paid,0,632
KolotyginPRO Crypto,681,27815,0,0,0,0,Paid,0,"1,552"
Kozh,361,26326,0,0,0,0,Paid,0,"5,000"
Kripto LOL - про инвестиции,"36,700",28328,3,9,0,0,Paid,339,"5,620"
Kriptograff,63,28139,0,0,0,0,Paid,0,"1,314"
KriptoNFT,"1,190",26977,0,0,0,0,Paid,0,"4,408"
kriptoRU70,784,26702,0,0,0,0,Paid,0,"5,010"
