Proposal Number,Name,Blockheight,Date,Proposal Type,Author,Proposal Status,Amount (spending proposal),Text,Working Group,Council Approvals,Community Roadmap - Mainnet,Tags,URL
15,App WG Lead,358438,"January 3, 2023 15:47 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,ismail,,,,,1,,,
16,Create Builders WG Lead Opening,360681,"January 3, 2023 15:49 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
17,Council access to #announcements channel,368107,"January 3, 2023 17:42 (GMT+1)",SignalProposalDetails,ismail,,,,,1,,,
18,Fill Working Group Lead Opening,360659,"January 3, 2023 18:35 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
19,Create Forum Working Group Lead Opening,360674,"January 3, 2023 18:58 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
20,Hire Membership WG Lead,368092,"January 4, 2023 9:00 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,adovrn,,,,,1,,,
21,Fill BWG lead position,368126,"January 4, 2023 9:06 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,chaos77,,,,,1,,,
22,Distribution Working Group Lead Opening,369206,"January 4, 2023 10:46 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
23,Fill Forum Working Group Lead Opening,369309,"January 4, 2023 12:04 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
24,Replenish the leader's number of invites,377759,"January 4, 2023 13:09 (GMT+1)",SetMembershipLeadInvitationQuotaProposalDetails,adovrn,,,,,1,,,
25,Set FWG Lead Reward,371660,"January 4, 2023 15:58 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,ismail,,,,,1,,,
26,Payment to BWG between Nov 4 and Dec 12,401021,"January 4, 2023 20:45 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,chaos77,,,,,0,,,
27,Forum New Categories,382996,"January 5, 2023 8:33 (GMT+1)",SignalProposalDetails,songoku,,,,,1,,,
28,Update Storage Working Group Budget,424520,"January 7, 2023 17:47 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
29,Update Builders Working Group Budget,424536,"January 7, 2023 18:02 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
30,Update Distribution Working Group Budget,424561,"January 7, 2023 18:50 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
31,Update Forum Working Group Budget,424568,"January 7, 2023 18:56 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
32,Update Storage Working Group Budget,424586,"January 7, 2023 20:18 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
33,Progress to Liberated stage,448296,"January 8, 2023 10:42 (GMT+1)",SignalProposalDetails,l1dev,,,,,1,,,
34,Activate Joystream Discord Bots,431744,"January 8, 2023 14:34 (GMT+1)",SignalProposalDetails,chaos77,,,,,1,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),,
35,Hire MWG Lead,467780,"January 9, 2023 8:09 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,ismail,,,,,0,,,
36,Update Builder Working Group Budget,453044,"January 9, 2023 19:40 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
37,FWG Plan Template,467851,"January 10, 2023 12:58 (GMT+1)",SignalProposalDetails,ismail,,,,,0,,,
38,Working groups summary template,487641,"January 10, 2023 14:41 (GMT+1)",SignalProposalDetails,ismail,,,,,0,,,
39,Fill App Working Group Lead Opening,470316,"January 11, 2023 12:39 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
40,Update Buider Working Group Budget,473697,"January 11, 2023 13:28 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
41,Set APP Working Group Lead Reward,473722,"January 11, 2023 15:00 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,abramaria_,,,,,1,,,
42,Update APP Working Group Budget,473713,"January 11, 2023 15:05 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
43," Cancel Marketing WG Lead Opening",501206,"January 13, 2023 14:58 (GMT+1)",CancelWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
44,Marketing Working Group Lead Opening,501326,"January 13, 2023 15:38 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
45,WGs Plan Template,510358,"January 13, 2023 16:44 (GMT+1)",SignalProposalDetails,ismail,,,,,1,,,
46,Rewards Carthage/Rhodes,527933,"January 13, 2023 18:08 (GMT+1)",SignalProposalDetails,abramaria_,,,,,0,,,
47,Fill Working Group Lead Opening,511996,"January 13, 2023 20:39 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,1,,,
48,Update APP Working Group Budget,515995,"January 14, 2023 12:48 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
49,Update APP Working Group Budget,513982,"January 14, 2023 13:20 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,0,,,
50,Update Marketing Working Group Budget,515779,"January 14, 2023 13:53 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,abramaria_,,,,,1,,,
51,Storage WG Report Submission Format,527912,"January 14, 2023 16:48 (GMT+1)",SignalProposalDetails,ismail,,,,,0,,,
52,Exchange Research,528114,"January 14, 2023 17:21 (GMT+1)",SignalProposalDetails,abramaria_,,,,,1,,,
53,MWG Lead rewards aren't correct,544159,"January 16, 2023 15:06 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,ismail,,,,,1,,,
54,Create Storage WG Lead Opening,545423,"January 16, 2023 16:45 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,0,,,
55,Forum Working Group Lead Opening,545409,"January 16, 2023 16:52 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,0,,,
56,Builders Working Group Lead Opening,545402,"January 16, 2023 16:58 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,0,,,
57,Apps Working Group Lead Opening,545394,"January 16, 2023 17:07 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,0,,,
58,Distribution Working Group Lead Opening,545354,"January 16, 2023 17:13 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,abramaria_,,,,,0,,,
59,Set Marketing Working Group Lead Reward,575936,"January 18, 2023 15:25 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,abramaria_,,,,,1,,,
60,Increase Validators Set By 10%,579823,"January 18, 2023 20:53 (GMT+1)",SetMaxValidatorCountProposalDetails,0x2bc,,,,,0,,,
61,"Refill Distribution WG budget ",583865,"January 18, 2023 21:05 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
62,Distribution WG Lead Opening,584051,"January 19, 2023 10:02 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,jen4ph,,,,,1,,,
63,Increase validators set to 40,1094404,"January 19, 2023 10:40 (GMT+1)",SetMaxValidatorCountProposalDetails,0x2bc,,,,,2,,,
64,Increase validators set to 50,873159,"January 19, 2023 10:43 (GMT+1)",SetMaxValidatorCountProposalDetails,0x2bc,,,,,1,,,
65,Increase Validators Set To 60,873146,"January 19, 2023 11:42 (GMT+1)",SetMaxValidatorCountProposalDetails,l1dev,,,,,1,,,
66,Increase Validators Set To 75,844596,"January 19, 2023 11:45 (GMT+1)",SetMaxValidatorCountProposalDetails,l1dev,,,,,1,,,
67,Create HR lead opening,590512,"January 19, 2023 19:35 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,1,,,
68,Create Curation lead opening,590530,"January 19, 2023 19:47 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,1,,,
69,Builder WG budget for Term 3,635294,"January 20, 2023 8:01 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,chaos77,,,,,1,,,
70,WG Term Report Template,618667,"January 20, 2023 18:55 (GMT+1)",SignalProposalDetails,0x2bc,,,,,1,,,
71,Refill Forum Budget,611214,"January 20, 2023 18:59 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
72,REFILL STORAGE WG BUDGET,613055,"January 21, 2023 9:51 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
73,Create BWG Lead opening,646082,"January 23, 2023 8:14 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,1,,,
74,IGREX for Curation WG Lead,641434,"January 23, 2023 9:58 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,jen4ph,,,,,1,,,
75,FERDIKESH_STUDIO for Curation WG Lead,656062,"January 23, 2023 10:02 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,jen4ph,,,,,0,,,
76,Hire @Codefi_keyz as HR lead,642209,"January 23, 2023 10:41 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,1,,,
77,Hire @songoku as HR lead,670019,"January 23, 2023 10:46 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,0,,,
78,Hire @MayorTee as HR lead,670012,"January 23, 2023 10:49 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,0,,,
79,Initial HR budget,643171,"January 23, 2023 12:38 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,l1dev,,,,,1,,,
80,Initial CWG budget,643177,"January 23, 2023 12:53 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,l1dev,,,,,1,,,
81,JoystreamDAO Twitter Scheduled Posts,661110,"January 23, 2023 13:21 (GMT+1)",SignalProposalDetails,leet_joy,,,,,1,,,
82,Council Term Report Template,646935,"January 23, 2023 19:04 (GMT+1)",SignalProposalDetails,0x2bc,,,,,1,Council Term Report Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Report%20Template%20eaf4d89ab8b942a694d218ebc282000e.md),,
83,Reporting Cycle,670753,"January 24, 2023 15:46 (GMT+1)",SignalProposalDetails,0x2bc,,,,,1,Reporting Cycle (Archive/Community%20Roadmap%20-%20Mainnet/Reporting%20Cycle%20f4c7c72ee17849a2a018b085ec7f24c0.md),,
84,Council Term Plan Template,661121,"January 24, 2023 16:40 (GMT+1)",SignalProposalDetails,0x2bc,,,,,1,Council Term Plan Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Plan%20Template%206c2dda0b8f7144bb8f8a192c462fc1fe.md),,
85,Reduce BWGL Reward,662959,"January 24, 2023 17:33 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,l1dev,,,,,1,,,
86,Pioneer Product Priorities Mid Term,663061,"January 24, 2023 20:31 (GMT+1)",SignalProposalDetails,dmtrmltsv,,,,,1,,,
87,Devise Con,703661,"January 24, 2023 21:09 (GMT+1)",SignalProposalDetails,dmtrmltsv,,,,,1,,,
88,BWG budget refill,670841,"January 25, 2023 5:05 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,chaos77,,,,,1,,,
89,Refill MWG Budget,674227,"January 25, 2023 6:50 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
90,ADMIN/EDITOR RIGHTS,703733,"January 25, 2023 7:36 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,1,,,
91,New Discord channel,703940,"January 25, 2023 14:16 (GMT+1)",SignalProposalDetails,adovrn,,,,,1,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),,
92,Joy Allocations For Crew3,715568,"January 25, 2023 16:00 (GMT+1)",SignalProposalDetails,leet_joy,,,,,0,Crew3 (Archive/Community%20Roadmap%20-%20Mainnet/Crew3%208a1e8b33151346089665b4079fd1b8e6.md),,
93,Update BWL Lead Reward back to normal,686679,"January 26, 2023 6:37 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,jen4ph,,,,,1,,,
94,Payment for TheGrimSavage #4407,688502,"January 26, 2023 7:17 (GMT+1)",FundingRequestProposalDetails,chaos77,,,,,1,,,
95,Forum Lead Salary,715946,"January 28, 2023 6:23 (GMT+1)",SignalProposalDetails,songoku,,,,,0,,,
96,BWG lead bonus,713947,"January 28, 2023 6:56 (GMT+1)",FundingRequestProposalDetails,chaos77,,,,,1,,,
97,Create opening for MWG Lead,717104,"January 28, 2023 14:42 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,jen4ph,,,,,1,,,
98,UPDATE ON WG LEADS SALARIES,715956,"January 28, 2023 16:15 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,0,,,
99,"Rhodes, Carthage worker payments ",746998,"January 29, 2023 8:45 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,l1dev,,,,,1,,,
100,Refill App WG Budget,732011,"January 29, 2023 10:27 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
101,Refill Apps WG budget,729025,"January 29, 2023 10:35 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
102,Assign Correct Discord Role to WG Leads,769812,"January 30, 2023 7:41 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,1,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),,
103,Review #council-handover channel,749940,"January 30, 2023 8:55 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,1,,,
104,Create Main Category for Validators,747853,"January 30, 2023 14:11 (GMT+1)",SignalProposalDetails,songoku,,,,,1,,,
105,Refill Content WG budget,761036,"January 31, 2023 16:31 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
106,"Refill Distribution WG budget ",777603,"January 31, 2023 16:40 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,0,,,
107,Refill Storage WG Budget,760946,"January 31, 2023 16:47 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
108,Joystream DAO Marketing WG Plan,775740,"January 31, 2023 19:40 (GMT+1)",SignalProposalDetails,leet_joy,,,,,1,,,
109,Update DWG budget,788147,"February 2, 2023 14:35 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
110,BWG budget refill for Term 4,831228,"February 2, 2023 16:54 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,chaos77,,,,,0,,,
111,Update HR WG budget,799966,"February 3, 2023 7:44 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
112,HR Monitor Worker Salaries,837258,"February 4, 2023 5:37 (GMT+1)",SignalProposalDetails,ismail,,,,,0,,,
113,Refill FWG Budget,825534,"February 5, 2023 5:28 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
114,Refill CWG Budget,829178,"February 5, 2023 7:34 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
115,Update HR WG budget,829205,"February 5, 2023 8:44 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
116,Refill BWG Budget,847217,"February 6, 2023 17:10 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
117,Reduce BWG Lead Rewards,847239,"February 6, 2023 17:24 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,ismail,,,,,1,,,
118,Update MWG Budget,871542,"February 6, 2023 17:37 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
119,Reset BWG Lead Salary,871528,"February 8, 2023 8:23 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,ismail,,,,,1,,,
120,Update MWG Budget,874984,"February 8, 2023 14:38 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
121,Update Builders WG Budget,874973,"February 8, 2023 14:43 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
122,Vikan Salary Update,886796,"February 9, 2023 11:03 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
123,Update Apps WG Budget,900981,"February 9, 2023 15:45 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,songoku,,,,,1,,,
124,Update DWG Budget,901634,"February 10, 2023 11:42 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
125,Council Secretary,940372,"February 12, 2023 8:56 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,ismail,,,,,1,,,
126,"Create Council Secretary Opening ",933071,"February 12, 2023 16:43 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,ismail,,,,,1,,,
127,Lead Bonuses And WGs KPIs,939284,"February 13, 2023 5:00 (GMT+1)",SignalProposalDetails,ismail,,,,,0,,,
128,Cancel Extra Counil Secretary Opening,942059,"February 13, 2023 7:35 (GMT+1)",CancelWorkingGroupLeadOpeningProposalDetails,ismail,,,,,1,,,
129,Update HR WG Budget,962275,"February 14, 2023 10:38 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,songoku,,,,,1,,,
130,Content Rewards Policy,992764,"February 14, 2023 11:19 (GMT+1)",SignalProposalDetails,songoku,,,,,0,,,
131,Lead Bonuses And WGs KPIs,975738,"February 15, 2023 16:12 (GMT+1)",SignalProposalDetails,ismail,,,,,0,,,
132,Change in Reporting Cycle,985348,"February 15, 2023 16:32 (GMT+1)",SignalProposalDetails,ismail,,,,,1,Reporting Cycle (Archive/Community%20Roadmap%20-%20Mainnet/Reporting%20Cycle%20f4c7c72ee17849a2a018b085ec7f24c0.md),,
133,Update SWG Budget,991851,"February 16, 2023 18:18 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,ismail,,,,,1,,,
134,Partial Refill SWG Budget,1000730,"February 17, 2023 2:34 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
135,Term 5 Budget,1009729,"February 17, 2023 8:26 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,chaos77,,,,,1,,,
136,Hire @tomato as Council Secretary,1009760,"February 17, 2023 21:55 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,l1dev,,,,,1,,,
137,Set lead invitiatons,1024629,"February 17, 2023 22:17 (GMT+1)",SetMembershipLeadInvitationQuotaProposalDetails,l1dev,,,,,1,,,
138,#Verification - READ-ONLY CHANNEL,1017861,"February 18, 2023 5:42 (GMT+1)",SignalProposalDetails,jen4ph,,,,,1,,,
139,"Fire Membership Lead(then, hire @tomato)",1017615,"February 18, 2023 11:07 (GMT+1)",TerminateWorkingGroupLeadProposalDetails,0x2bc,,,,,1,,,
140,Implement Council Candidacy Interview,1060079,"February 18, 2023 14:49 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,0,,,
141,Hire @Tomato As Council Secretary,1020855,"February 18, 2023 14:50 (GMT+1)",FillWorkingGroupLeadOpeningProposalDetails,0x2bc,,,,,1,,,
142,Partial Refill for DWG Budget,1033131,"February 18, 2023 15:05 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
143,Council Plan For 5th Term,1071543,"February 19, 2023 9:55 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,,,
144,Update MWG Budget,1041138,"February 19, 2023 10:25 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,leet_joy,,,,,1,,,
145,Council Election Process breakdown,1075479,"February 19, 2023 16:29 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,0,,,
146,Reduce APPS WG Lead Rewards,1053262,"February 20, 2023 5:46 (GMT+1)",SetWorkingGroupLeadRewardProposalDetails,jen4ph,,,,,1,,,
147,Applicants are welcome for HR WG Lead,1073871,"February 21, 2023 17:30 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,jen4ph,,,,,1,,,
148,Content Rewards Policy,1086390,"February 22, 2023 6:12 (GMT+1)",SignalProposalDetails,igrex,,,,,0,,,
149,#Membership channel on discord,1089894,"February 23, 2023 7:55 (GMT+1)",SignalProposalDetails,jen4ph,,,,,1,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),,
150,New Council Term Plan Template,1130713,"February 23, 2023 12:33 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,Council Term Plan Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Plan%20Template%206c2dda0b8f7144bb8f8a192c462fc1fe.md),,
151,New Council Term Report Template,1130749,"February 23, 2023 12:37 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,Council Term Report Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Report%20Template%20eaf4d89ab8b942a694d218ebc282000e.md),,
152,Slow down on hiring new personnel,1132067,"February 23, 2023 14:48 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,,,
153,Refill SWG Budget,1103752,"February 24, 2023 5:40 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
154,Content Rewards Policy,1141988,"February 24, 2023 7:21 (GMT+1)",SignalProposalDetails,igrex,,,,,0,,,
155,Replenish Forum WG Budget,1103770,"February 24, 2023 8:16 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
156,Certificate of Employment,1103030,"February 24, 2023 11:34 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,0,Certificate of Employment (Archive/Community%20Roadmap%20-%20Mainnet/Certificate%20of%20Employment%2091b13c6760c347cdbd8ba493b29c26dc.md),,
157,New Council Term Report Template,1164471,"February 26, 2023 18:21 (GMT+1)",SignalProposalDetails,0x2bc,,,,,1,Council Term Report Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Report%20Template%20eaf4d89ab8b942a694d218ebc282000e.md),,
158,New Council Term Plan Template,1170620,"February 26, 2023 18:28 (GMT+1)",SignalProposalDetails,0x2bc,,,,,1,Council Term Plan Template (Archive/Community%20Roadmap%20-%20Mainnet/Council%20Term%20Plan%20Template%206c2dda0b8f7144bb8f8a192c462fc1fe.md),,
159,Council Plan For 5th Term,1177631,"February 26, 2023 18:33 (GMT+1)",SignalProposalDetails,0x2bc,,,,,1,,,
160,Get more info on JSG and Gateways plans,1141449,"February 26, 2023 20:18 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,,,
161,Refill Membership WG budget,1159302,"February 27, 2023 10:56 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
162,Refill Distribution budget,1159293,"February 27, 2023 11:34 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
163,Refill HR budget,1159288,"February 27, 2023 11:36 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
164,Refill Content WG budget,1159276,"February 27, 2023 11:38 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
165,"Gateway's Development Roadmap Required ",1150357,"February 27, 2023 21:30 (GMT+1)",SignalProposalDetails,jen4ph,,,,,0,,,
166,Gateways' Development Roadmaps Required,1163403,"February 27, 2023 21:35 (GMT+1)",SignalProposalDetails,jen4ph,,,,,0,,,
167,Lettting go of APPS WG Lead,1161612,"February 28, 2023 9:42 (GMT+1)",TerminateWorkingGroupLeadProposalDetails,jen4ph,,,,,1,,,
168,App WG Lead Opening,1164671,"February 28, 2023 21:10 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,0x2bc,,,,,0,,,
169,App WG Lead Opening,1166005,"February 28, 2023 21:17 (GMT+1)",CreateWorkingGroupLeadOpeningProposalDetails,0x2bc,,,,,1,,,
170,Increase Validators Set To 35,1262686,"February 28, 2023 21:31 (GMT+1)",SetMaxValidatorCountProposalDetails,0x2bc,,,,,2,,,
171,Issuance of COE for worker Itz,1177652,"March 1, 2023 13:02 (GMT+1)",SignalProposalDetails,Codefi_keyz,,,,,1,Certificate of Employment (Archive/Community%20Roadmap%20-%20Mainnet/Certificate%20of%20Employment%2091b13c6760c347cdbd8ba493b29c26dc.md),,
172,New Discord Channel,1204566,"March 2, 2023 10:34 (GMT+1)",SignalProposalDetails,0x2bc,,,,,0,Discord (Archive/Community%20Roadmap%20-%20Mainnet/Discord%2064386cff9f8847ae8c4b10107b95ae47.md),,
173,Refill Membership budget,1190172,"March 2, 2023 10:53 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,0x2bc,,,,,1,,,
174,Compensation for founding member program,1209605,"March 2, 2023 12:08 (GMT+1)",FundingRequestProposalDetails,mats4,,,,,0,,,
175,Upgrade to Ephesus,1241122,"March 2, 2023 17:35 (GMT+1)",RuntimeUpgradeProposalDetails,jsgenesis,,,,,2,Ephesus Runtime Upgrade (Archive/Community%20Roadmap%20-%20Mainnet/Ephesus%20Runtime%20Upgrade%20e7edd724f0d443db9406f3b2b4a25508.md),,
176,Partial Refill for SWG Budget,1230933,"March 5, 2023 4:34 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,1,,,
177,Refill BWG Budget for Term 6,1255458,"March 5, 2023 4:50 (GMT+1)",UpdateWorkingGroupBudgetProposalDetails,jen4ph,,,,,0,,,
