Name,Attributes,Builder Weight,Content Weight,Deadline (Local Time),Deadline [block],Deadline timestamp,Distributor Weight,Effective Deadline,Forum Link,Forum Report Source,Forum Weight,Grade Name,Group,HR Weight,Handbook Link,Handover Weight,JSG Grading Status,Lead Opportunities Weight,Marketer Weight,Marketing Weight,Notion Link,Notion Source Link,Opportunity Target,Parent Score,Plan Weight,Property,Property 1,Property 2,Property 3,Proposal Link,Score,Score Notes,Spot Check Completed,Storage Weight,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores,Summary Weight,Summary Weight link,Weight
Distributor Score,"Composite Grade, Master Score",,,,,,,,,,,DISTRIBUTOR_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,"Forum post did not include markdown,Incomplete (Did not fulfill all requirements)",,0.168,,No,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md), Distributors Report (Council%2010/Council%20Period%2010/Distributors%20Report%2096f24a5aae8d4122894bf7e49ea85ffd.md), System (Council%2010/Council%20Period%2010/System%20bf5f5abda47b4711b969fa751dcbf396.md)",,,
General Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,,,,,,,,,GENERAL_DEVELOPMENT_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#general_development_score,,Completed,,,,,,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),,,,,,,1,,No,,,,,,,,
On chain Budget and Opening proposals without JOY equivalent,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#on-chain-budget-and-opening-proposals-without-joy-equivalent,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
Storage Score,"Composite Grade, Master Score",,,,,,,,,,,STORAGE_SCORE,Storage,,,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,,,0.444,,No,,,,,"Uploads (Council%2010/Council%20Period%2010/Uploads%20c4027e4c0d7a4debb27c357a8365cf83.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md), System (Council%2010/Council%20Period%2010/System%201b829f5dbf8049be8d485f4ebb0e151c.md), Storage Report (Council%2010/Council%20Period%2010/Storage%20Report%2038973f4f9fd74306954e89b24c9c9950.md)",,,
Storage Report,"Document, Forum Post, Grade, Group Specific Scores, Proposal, Report",,,,,,,,https://dao.joystream.org/#/forum/thread/169,https://dao.joystream.org/#/forum/category/13,,REPORT_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#report_score,,Completed,,,,https://www.notion.so/eee4d494fde84e36818cc40f7bc9c249?pvs=21,,,Storage Score (Council%2010/Council%20Period%2010/Storage%20Score%20cd68026677b9495cb23d38d33a98a0bb.md),,,,,,,0.8,,No,,,,,,,,
Total $tJOY exceeds tJOY_BUDGET,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#total-tjoy-exceeds-tjoy_budget,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,,,,,,https://dao.joystream.org/#/forum/thread/175,,,PLAN_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md),,,,,,https://dao.joystream.org/#/proposals/preview/245,1,On time,No,,978247,,,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/182,,,PLAN_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md),,,,,,https://dao.joystream.org/#/proposals/preview/245,0.8,On time,No,,989543,,,,,,
Logging does not occur,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#catastrophic-errors,,Not Completed,,,,,,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),,,,,,,,,No,,,,,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md),,,,,,,0.5,,No,,,,,,,,
Uploads,"Grade, Group Specific Scores, Subscore",,,,,,,,,,,UPLOAD_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#upload_score,,Completed,,,,,,,Storage Score (Council%2010/Council%20Period%2010/Storage%20Score%20cd68026677b9495cb23d38d33a98a0bb.md),,,,,,,0.722,,No,,,,,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore, Summary",,,,,,,,,,,SUMMARY_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md),,,,,,,0,No Submission found (at all),No,,,,,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",,,,,,,,https://dao.joystream.org/#/forum/thread/202,,,SUMMARY_SCORE,Forum,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20d22743e545a744b89a5d9012f6de9402.md), General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20857b3136c02c443d824d6266e657a70b.md)",,,,,,https://dao.joystream.org/#/proposals/preview/250,0.85,"Incorrect Data, On time",No,,1033608,,,,,,
Testing,"Grade, Group Specific Scores, Spot Check, Subscore",,,,,,,,,,,TESTING_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,,Completed,,,,,,,Builder Score (Council%2010/Council%20Period%2010/Builder%20Score%20920a01e47ed84aff84356195a283787f.md),,,,,,,0.8,,No,,,,,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,,,,,,,,,WORKER_OPPORTUNITIES_SCORE,Distributors,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md),,,,,,,0.111,,No,,,,,,,,
Incorrect Reporting,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#incorrect-reporting,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Opening Score,"General WG Score, Subscore",,,,,,,,,,,OPENING_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md),,,,,,,0.533,,No,,,,,,,,
Research Score,"Group Specific Scores, Subscore",,,,,,,,,,,RESEARCH_SCORE,Distributors,,,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
Interaction Logging Score,"Group Specific Scores, Subscore",,,,,,,,,,,INTERACTION_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#interaction_logging_score,,Completed,,,,,,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),,,,,,,1,,Yes,,,,,,,,
HR Report,"Group Specific Scores, Subscore",,,,,,,,,,,REPORT_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,,Completed,,,,,,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),,,,,,,0.9,On time,Yes,,,,,,,,
No available sources for data object,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Distributors,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/distributors-score.md#catastrophic-errors,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Plan, Proposal, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/47?post=365,https://dao.joystream.org/#/forum/thread/47,,PLAN_SCORE,Builders,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md),,,,,,,0.9,"No Proposal Found, On time",No,,986274,,,,,,
Upgrading non-Jsgenesis runtime,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Council,,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,,Completed,,,,,,,,,,,,,,0,,No,,,,,,,,
Bounty Score,"General WG Score, Subscore",,,,,,,,,,,BOUNTY_SCORE,Distributors,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%202a5388a2ac844cf19f04c159183c7b4b.md),,,,,,,0,,No,,,,,,,,
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,TOTAL_BREACHES_OF_POLICY,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,,Not Completed,,,,,,,Moderation Score (Council%2010/Council%20Period%2010/Moderation%20Score%203232d4fc27a2495696a87d8b6796ca16.md),,,,,,,,,No,,,,,,,,
Council Period Plan,"Document, Forum Post, Grade, Master Score, Proposal",,,,,,,,https://dao.joystream.org/#/forum/thread/185,https://dao.joystream.org/#/forum/category/4,,PLAN_SCORE,Council,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,,https://dao.joystream.org/#/proposals/preview/231,0.8,Late submission,No,,994661,,,,,,
Council Period Parameters,,,,,,,,,,,,,JSG,,,,Completed,,,,,,,,,,,,,https://dao.joystream.org/#/proposals/preview/230,,,No,,978828,1653951048000,,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore",,,,,,,,https://dao.joystream.org/#/forum/thread/169,,,SUMMARY_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md),,,,,,,0.85,"Incorrect Data, On time",No,,1047393,,,,,,
Bounty Score,"General WG Score, Subscore",,,,,,,,,,,BOUNTY_SCORE,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20cb85e1c4b737405c8a14edafc2c7ba3a.md),,,,,,,0,,No,,,,,,,,
Builder Score,"Composite Grade, Master Score",,,,,,,,,,,BUILDER_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,,,0.668,,No,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md), Builders Report (Council%2010/Council%20Period%2010/Builders%20Report%207c3aeb23c50e4d0b906a6e0c2449109e.md), Testing (Council%2010/Council%20Period%2010/Testing%20b4181d48611d4b5dae71620fed884f24.md), Pioneer Development (Council%2010/Council%20Period%2010/Pioneer%20Development%20990e58a1da294c449e6f31d4e9fc9685.md), General Development (Council%2010/Council%20Period%2010/General%20Development%20d74628dc459d486d8da8abada333d112.md)",,,
Missing Judgement,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,HR,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#catastrophic-errors,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Bounty Score,"General WG Score, Subscore",,,,,,,,,,,BOUNTY_SCORE,Storage,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%201d61814156844f98b97eb918adcba0fd.md),,,,,,,0,,No,,,,,,,,
System,"Grade, Group Specific Scores, Subscore",,,,,,,,,,,SYSTEM_SCORE,Storage,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,,Completed,,,,,,,Storage Score (Council%2010/Council%20Period%2010/Storage%20Score%20cd68026677b9495cb23d38d33a98a0bb.md),,,,,,,0.25,,No,,,,,,,,
Bounty Score,"General WG Score, Subscore",,,,,,,,,,,BOUNTY_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md),,,,,,,0,,No,,,,,,,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Storage,,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,,Not Completed,,,,,,,,,,,,,,,,No,,,,,,,,
Person Logging Score,"Group Specific Scores, Subscore",,,,,,,,,,,PERSON_LOGGING_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#person_logging_score,,Completed,,,,,,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),,,,,,,0.667,,No,,,,,,,,
Opening Score,"General WG Score, Subscore",,,,,,,,,,,OPENING_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md),,,,,,,0.329,,No,,,,,,,,
Response Time,"Group Specific Scores, Subscore",,,,,,,,,,,RESPONSE_TIME_SCORE,HR,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#response_time_score,,Completed,,,,,,,HR Score (Council%2010/Council%20Period%2010/HR%20Score%20d320184c34fe4b84aa097a98ee260a87.md),,,,,,,0.875,,No,,,,,,,,
Failure to apply moderation rules,"Catastrophic Errors, Grade, Spot Check",,,,,,,,,,,,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#failure-to-apply-moderation-rules,,Not Completed,,,,,,,Content Score (Council%2010/Council%20Period%2010/Content%20Score%20ce2d5b2755b340a387e826969753ab5c.md),,,,,,,,,No,,,,,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore, Summary",,,,,,,,,https://dao.joystream.org/#/forum/category/11,,SUMMARY_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,,Completed,,,,"CWG summary (https://www.notion.so/CWG-summary-b95ac35528de4940be62cf5b739e41c2?pvs=21) ",,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md),,,,,,,0,"Incomplete (Did not fulfill all requirements), No Forum Post found",No,,,,,,,,
Content Score,"Composite Grade, Master Score",,,,,,,,,,,CONTENT_SCORE,Content,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#score,,Completed,,,,,,,Network Performance Score (Council%2010/Council%20Period%2010/Network%20Performance%20Score%2058c408bec2fd4c1dba4159b847123c9e.md),,,,,,,0.215,,No,,,,,"General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md), Content Report (Council%2010/Council%20Period%2010/Content%20Report%2047222e0adc02413db6fc63815308a1a8.md), Featuring Score (Council%2010/Council%20Period%2010/Featuring%20Score%2001f77e5d3db6405f84ccf7406ab42bed.md), Moderation Score (Council%2010/Council%20Period%2010/Moderation%20Score%203232d4fc27a2495696a87d8b6796ca16.md), Logging does not occur (Council%2010/Council%20Period%2010/Logging%20does%20not%20occur%2043c91be91a9d4b71a9507663fe74133c.md), Featured Content Unplayable (Council%2010/Council%20Period%2010/Featured%20Content%20Unplayable%20972cb09fbac448829e5a0343bbe22770.md), Failure to apply moderation rules (Council%2010/Council%20Period%2010/Failure%20to%20apply%20moderation%20rules%201b3138b72f814afb96f3bcc1b2f3a1b2.md)",,,
General WG Score,"Composite Grade, General WG Score",,,,,,,,,,,GENERAL_WG_SCORE,Forum,,,,Completed,,,,,,,Forum Score (Council%2010/Council%20Period%2010/Forum%20Score%20a0f9828eb2814c3b9912a307c5655d0b.md),,,,,"On time,Incorrect Data,On time",,0.19,,No,,,,,"WG Period Plan (Council%2010/Council%20Period%2010/WG%20Period%20Plan%20c1c97529bc8a4c289be76bf669723886.md), WG Summary (Council%2010/Council%20Period%2010/WG%20Summary%204e8266b96af64455a0a2edd0fcc3d242.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%204e7d604e7f63495e9eab52f461bc75cd.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%20368b6391520542ba92154f7f51034b9d.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%20699d09071cfc40b5b8283a529049d897.md), WG Opportunities (Council%2010/Council%20Period%2010/WG%20Opportunities%202545723058c347cebcd357aabcd79169.md), Bounty Score (Council%2010/Council%20Period%2010/Bounty%20Score%203c11a561d8814e308f51a673b414b7d5.md), Opening Score (Council%2010/Council%20Period%2010/Opening%20Score%2069cc25c8eea649f9acc02d6add161522.md)",,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",,,,,,,,https://dao.joystream.org/#/forum/thread/180,,,PLAN_SCORE,Content,,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%20ec8c25f5f6fd4c4dbf1db3d53f29f25c.md),,,,,,https://dao.joystream.org/#/proposals/preview/245,0.9,On time,No,,988054,,,,,,
Opening Score,"General WG Score, Subscore",,,,,,,,,,,OPENING_SCORE,Builders,,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,,Completed,,,,,,,General WG Score (Council%2010/Council%20Period%2010/General%20WG%20Score%2094a77ed584a147fead25d4c1b5a22e13.md),,,,,,,0.667,,No,,,,,,,,
