Channel Title,Channel_URL,Date Signed Up to YPP,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Latest Overall YPP Reward in JOY,Total YPP Rewards in JOY
Coin Brain,channel/UCCLfX0ilNu5yFXAU_VBjnRg,2023-08-05,1980.0,26897,0.0,0.0,20.0,0.0,"2,313","2,313"
"Coin Explain - криптовалюта, блокчейн, NFT",channel/UCwNzO9IfupXIJo3oLhz0kEg,2023-08-09,733.0,27190,1.0,3.0,20.0,0.0,"2,660","2,660"
COIN ROOM,channel/UCwO6cxPZNmHuRwO-h25InVg,2023-07-21,152000.0,26632,3.0,45.0,0.0,0.0,"5,205","24,811"
COOPERXGOD Crypto,channel/UCJkiYNeUDb1yft35z8FqioA,2023-08-07,194.0,27012,2.0,6.0,20.0,0.0,"3,007","3,007"
CRAZY MONEY,channel/UCv2JfgVgUfWLmKOLK06Y-qg,2023-07-29,595.0,26765,0.0,0.0,0.0,0.0,0,"3,652"
Criptoadicto Ruso hablando español,channel/UC92h-uFTHLscifAm3L8AW-Q,2023-05-27,96.0,26085,0.0,0.0,0.0,0.0,0,"6,470"
CriptoTime,channel/UCHejOkoxSpaJ-iXFEhuK3oA,2023-07-30,4030.0,26784,10.0,30.0,0.0,20.0,"5,783","9,435"
Cristy Verse,channel/UCJZfnLD8sz-Ty1GB0VGCogg,2023-07-03,28300.0,26497,1.0,7.5,0.0,0.0,810,"124,179"
CryptInvest,channel/UC1wr8p1hUSGWghSr-heiJ7A,2023-08-07,55.0,27008,7.0,21.0,20.0,0.0,"4,742","4,742"
Crypto 4Light,channel/UCf_wDGkiubpH4Ms1MLj2h5w,2023-07-29,9970.0,26759,11.0,82.5,0.0,0.0,"9,484","18,616"
Crypto Awaz,channel/UCbhnmbaBxV71OCWuzaJFmzA,2023-05-04,2970.0,25917,1.0,3.0,0.0,0.0,347,"11,941"
Crypto Banan,channel/UCz_qgof179F0Vk7TIISqcBA,2023-08-04,163000.0,26820,0.0,0.0,0.0,10.0,"1,157","19,420"
Crypto Boomer,channel/UCsD2WawybVZxgULMryuNZ_g,2023-08-03,22600.0,26818,5.0,37.5,0.0,0.0,"4,279","13,411"
CRYPTO BULLSEYE,channel/UCWR66mkt9ovREiEyI3xC_Yg,2023-05-15,4600.0,25965,4.0,12.0,0.0,0.0,"1,388","43,362"
Crypto Clarity,channel/UCqliJEiBb3KvHqd7pM0nR-w,2023-04-07,587.0,25773,6.0,18.0,0.0,0.0,"2,082","86,248"
Crypto Coin Show,channel/UC1ULGWsmJNqbNbMJ1MdNRjQ,2023-07-14,79500.0,26568,9.0,135.0,0.0,0.0,"15,614","41,112"
CRYPTO CORE RAKIB,channel/UCXU3HntXoWP43cQj5UuBFxA,2023-04-18,1190.0,25850,0.0,0.0,0.0,0.0,0,"27,932"
Crypto Currents,channel/UCKdJhTkIoVVJEXun7zn2tGg,2023-06-08,57.0,26195,0.0,0.0,0.0,0.0,0,"5,000"
Crypto Demiurg,channel/UCbaU_2DOB76Gp2yWLLsZoKQ,2023-06-14,3910.0,26297,0.0,0.0,0.0,0.0,0,"5,000"
CRYPTO DILLER,channel/UCeQ14fCvpj7pD-21gpxVqXA,2023-07-06,105.0,26522,1.0,3.0,0.0,0.0,347,"12,273"
CRYPTO DOKTOR,channel/UCwDxM8U311LvQjYE0hSWwPg,2023-08-07,1010.0,27075,1.0,3.0,20.0,0.0,"2,660","2,660"
Crypto Fanat,channel/UCrB1ZCQLUamth2JmBY39pDA,2023-06-30,103000.0,26486,0.0,0.0,0.0,0.0,0,"84,145"
Crypto Flash,channel/UCnu664XillgYpD2xaRGeO8g,2023-05-11,32200.0,25948,3.0,22.5,0.0,0.0,"2,545","8,964"
Crypto Genius,channel/UCqnOLtouUfO-USoY1w9BwUQ,2023-07-29,1000.0,26766,11.0,33.0,0.0,0.0,"3,817","7,468"
Crypto Goose,channel/UCxI2v9GlrJPkrJKoCMXLvdQ,2023-08-08,476.0,27105,2.0,6.0,20.0,0.0,"3,007","3,007"
Crypto Hamster,channel/UCkIWYu3wPQuy6BqAxZ3tGIw,2023-06-15,6910.0,26227,2.0,15.0,0.0,0.0,"1,735","18,444"
Crypto House,channel/UCIozniIWiKTFIH7E5NXZbjA,2023-07-03,109000.0,26503,0.0,0.0,0.0,0.0,0,"30,873"
Crypto INSIDE,channel/UCIGRe0omWgl7vqZgc7fh9aw,2023-05-31,1490.0,26105,8.0,24.0,0.0,0.0,"2,776","33,097"
Crypto Inversor,channel/UC_Rv4xZN-djAmQJXtUXe-og,2023-07-23,147.0,26667,7.0,21.0,0.0,0.0,"2,429","6,349"
Crypto Kaha,channel/UC_VdG0VPxJhaMS1_J4-PYzA,2023-07-01,32000.0,26498,1.0,7.5,0.0,0.0,810,"39,125"
Crypto Kernels,channel/UCvwgazR7TXRMPBxC4YSNRtw,2023-05-12,1690.0,25955,0.0,0.0,0.0,0.0,0,"10,104"
Crypto Lee,channel/UCrG3Xbd1TGAPTYHdD9b6qzA,2023-06-30,71800.0,26485,0.0,0.0,0.0,0.0,0,"52,272"
CRYPTO LIFE,channel/UCPC3f6oAGifVPbB84dnVTeg,2023-06-09,11600.0,26177,0.0,0.0,0.0,0.0,0,"12,500"
Crypto Mighelle,channel/UCmnT9QT1yU9XApYPKLgqgQw,2023-08-05,36100.0,26876,2.0,15.0,50.0,0.0,"7,518","7,517"
Crypto Pepe,channel/UCTDs_fS45YWE8JxRWpT7IcQ,2023-08-04,67000.0,26821,1.0,15.0,0.0,75.0,"10,409","28,673"
Crypto platform,channel/UCTavOTxu3Vi8-jvYQGL0TJA,2023-07-31,24100.0,26787,1.0,7.5,0.0,0.0,810,"9,941"
CRYPTO PROJECTS,channel/UCg7nPTkh-1pwPzZ5d7ty4Lg,2023-06-16,259.0,26373,0.0,0.0,0.0,0.0,0,"5,000"
CRYPTO PULSE,channel/UCEaobf3T2KFWj71spA8GZPQ,2023-07-26,137.0,26662,1.0,3.0,0.0,0.0,347,"4,267"
Crypto raki,channel/UCY1j4XSuAyFqEtSQqhUjICw,2023-07-25,204.0,26690,0.0,0.0,0.0,0.0,0,"3,921"
Crypto Retriever,channel/UC_D14rRbluQP-JhiMWvx2PQ,2023-08-04,13500.0,26845,0.0,0.0,50.0,0.0,"5,783","5,783"
CRYPTO RINA,channel/UCHX6DiG-13v1W4s5QgRZ0vw,2023-07-17,1980.0,26603,6.0,18.0,0.0,100.0,"13,648","26,249"
"CRYPTO ROM - криптовалюта, финансы и заработок",channel/UCA_NV7rWc0etEoaujxT5Fsw,2023-07-06,631.0,26520,18.0,45.0,0.0,0.0,"5,205","19,011"
Crypto Shark,channel/UCgRj_t6gFdVLm48c-mrVbJg,2023-07-21,68700.0,26636,1.0,15.0,0.0,0.0,"1,735","24,283"
Crypto Sheff,channel/UCYTur8Idl9srcmksclRbVkw,2023-07-13,74700.0,26561,1.0,15.0,0.0,0.0,"1,735","21,688"
CRYPTO STUDIO 23,channel/UCklXE7EgY8DlBWzEiwUTI5Q,2023-07-29,19600.0,26754,0.0,0.0,0.0,0.0,0,"18,264"
Crypto Svitlana,channel/UCZbldZQZZQQkWhGl3SQUpSQ,2023-08-01,486.0,26809,2.0,6.0,0.0,0.0,694,"4,345"
CRYPTO TIMES,channel/UC7q7TvmFkCF7ZpCjB1E2C-A,2023-08-04,907.0,26830,7.0,21.0,20.0,10.0,"5,899","5,898"
Crypto Unveiled,channel/UCLM_Y5m1Vug6Ytr0I2stq9w,2023-06-10,677.0,26226,12.0,36.0,0.0,0.0,"4,164","42,170"
Crypto Variety,channel/UCG2lmsR6Vv1Pe2txpRHyuZw,2023-07-01,17900.0,26496,0.0,0.0,0.0,0.0,0,"22,727"
CRYPTO_FATHER,channel/UC4Eav1yMV7_kCUEtnUi-PDg,2023-08-08,17700.0,27082,0.0,0.0,50.0,0.0,"5,783","5,783"
Crypto_K1ng,channel/UC9t4NQe7hQ1Se6Aa9X5VdZQ,2023-08-10,533.0,26294,10.0,30.0,0.0,0.0,"3,470","31,716"
Crypto4light Low Cap,channel/UCv-FN2BNG0DQ61QyPbnMjsA,2023-07-29,5510.0,26757,0.0,0.0,0.0,0.0,0,"9,132"
Crypto4light Market,channel/UCq_djmBJhZo5t7_YGk8hhjg,2023-07-29,2960.0,26760,11.0,33.0,0.0,0.0,"3,817","7,468"
cryptoact,channel/UCYmpZJyfXz3Bz3xYKqm2E6A,2023-06-30,1140.0,26484,2.0,6.0,0.0,0.0,694,"23,420"
CryptoBOOM - заработок без вложений,channel/UCRJr1Ke5wFIAcKLLjccoJ5A,2023-06-15,2030.0,26304,0.0,0.0,0.0,0.0,0,"5,000"
CryptoCrafter,channel/UCnasCo4UG84TVZke7bHJrHg,2023-06-08,456.0,26184,10.0,30.0,0.0,0.0,"3,470","14,549"
CryptoCrazyMan,channel/UCQcP2esw55_d-1r9gmjV3EQ,2023-07-29,465.0,26763,6.0,18.0,0.0,0.0,"2,082","5,733"
Cryptocurrency Free,channel/UCj6GeGiKuZR83uv_283Ihhw,2023-07-31,243.0,26791,5.0,15.0,0.0,0.0,"1,735","5,386"
CryptoInvestor,channel/UCUjgSFoW1XhFxaYpdC-TGPA,2023-07-04,149000.0,26510,148.0,0.0,0.0,0.0,0,"100,446"
CRYPTOK3SH,channel/UCywTLeUAlTdK8-FhuU8zgww,2023-06-16,106.0,26372,0.0,0.0,0.0,0.0,0,"5,000"
CRYPTOLAND,channel/UCmnPerGbwOJA2ncnzguPovw,2023-08-05,15400.0,26871,6.0,45.0,50.0,0.0,"10,988","10,987"
CRYPTOLORE,channel/UCkMxXxO38-V-dyqZkdWafPw,2023-07-04,118000.0,26512,4.0,60.0,0.0,0.0,"6,940","76,719"
CryptoNick,channel/UCTYNeqEcVDHCgcbPT0zvB5g,2023-05-24,2760.0,26057,4.0,12.0,0.0,0.0,"1,388","13,990"
Cryptoon,channel/UCKsTKoNOFCSsHeKiQ8pWCDw,2023-06-13,1850.0,26279,11.0,33.0,0.0,10.0,"4,973","25,106"
CryptoPM,channel/UCOxBUBKIrtxrUEWgl9KQluA,2023-07-14,62800.0,26569,0.0,0.0,0.0,0.0,0,"17,352"
Cryptor,channel/UCU2jqei6GZGOfvekDZU6AuQ,2023-06-15,28200.0,26324,1.0,7.5,0.0,0.0,810,"13,309"
CryptoSweeT Company,channel/UCNIkqPi-UD5pimJY75JgEOQ,2023-07-24,153.0,26675,3.0,9.0,0.0,0.0,"1,041","4,961"
CryptoTime ,channel/UChQ2QwGks4ZQkFzb6kDE23A,2023-07-01,21200.0,26492,0.0,0.0,0.0,0.0,0,"22,727"
CryptoToloka,channel/UCryB98FzjZ3KbhdVjCSGYsw,2023-06-13,1340.0,26276,2.0,6.0,0.0,0.0,694,"9,704"
CryptoView,channel/UC4toQkkJ6_rxuh-QzzHqrYw,2023-06-13,87700.0,26275,0.0,0.0,0.0,0.0,0,"60,046"
DanMax,channel/UCwXLtFo-jdEj2Ru26gmsrrg,2023-08-07,4370.0,26973,3.0,9.0,20.0,0.0,"3,354","3,354"
DeFi Ascension,channel/UCnx0s2QlUgTrkPxNDWQdqFQ,2023-05-04,2230.0,25914,4.0,12.0,0.0,0.0,"1,388","16,139"
defigen,channel/UC-jcoJHLP9IlzjDs2jt1g4A,2023-06-04,5880.0,26152,0.0,0.0,0.0,0.0,0,"17,990"
Dimantyay&Crypto,channel/UCmwfyNIkMHGDha8y9qxMq8g,2023-08-09,59.0,27184,3.0,9.0,20.0,0.0,"3,354","3,354"
Dmytro Kraivskyi | Cryptonit,channel/UCUYH2JZ6evdS4CzARwc2obQ,2023-06-12,23000.0,26256,2.0,15.0,0.0,0.0,"1,735","81,450"
Dmytro777,channel/UCSy1Q0IK5raxbqNk6_wXnrQ,2023-06-12,109.0,22156,0.0,0.0,0.0,0.0,0,"6,470"
DOUBLETOP,channel/UCdvuYT--R9DlEGDImbzXu-w,2023-06-18,68200.0,26422,6.0,90.0,0.0,0.0,"10,409","97,924"
Drops Easy,channel/UCqL6Yozn5jO-7nao7mhvSyA,2023-07-28,1160.0,26742,0.0,0.0,0.0,0.0,0,"5,479"
EAZY CSALPING - КРИПТОВАЛЮТА,channel/UCZxVg_-jxTJ_uqMEGZL1ZKg,2023-06-13,12400.0,26277,3.0,22.5,0.0,0.0,"2,545","23,826"
EnjoyMaloy,channel/UCEgqBmHS4TSYYPqYWR7MkRA,2023-07-28,222000.0,26729,4.0,60.0,0.0,0.0,"6,940","25,203"
Evgeniy May,channel/UCCyXluCtH3Pm-6VaDthZjEg,2023-07-28,12800.0,26728,12.0,90.0,0.0,0.0,"10,409","19,541"
Flash Cash,channel/UCouVb9db41hnaWt7RF5cc0Q,2023-05-11,110000.0,25947,0.0,0.0,0.0,0.0,0,"2,602"
Flash Verse,channel/UCppMkXqJJcywvf2g782lcHg,2023-07-01,212000.0,26491,1.0,15.0,0.0,0.0,"1,735","47,188"
FLICKET CRYPTO,channel/UCcBiTzxaTvZyYevT4IFAOTA,2023-08-01,94000.0,26808,1.0,15.0,0.0,0.0,"1,735","19,998"
Floating Monkey,channel/UCi0xEPi3qDuawHqBeiMyq8w,2023-07-12,75.0,26261,1.0,3.0,0.0,0.0,347,"9,427"
Free Crypto,channel/UCqDu5CByuvEOYNV135t7-4Q,2023-08-04,702.0,26833,1.0,3.0,20.0,0.0,"2,660","2,660"
FREEDOOM,channel/UCFTLeWV8iJTjn1Pv_dSCj-w,2023-05-12,112.0,22521,13.0,39.0,0.0,0.0,"4,511","46,956"
funny_men78,channel/UCsCPOBjyK0e5e1Sh9V7itHA,2023-07-09,996.0,26532,0.0,0.0,0.0,0.0,0,520
GEM ZONE,channel/UC1vdmx6PsycoSyrPUiLFxGQ,2023-07-19,120000.0,26623,1.0,15.0,0.0,0.0,"1,735","19,086"
gleevypp09,channel/UC0WTS23404pBPfkK9-d4zXA,2023-03-24,1.0,25696,0.0,0.0,20.0,0.0,"2,313","2,313"
Go To Work,channel/UCPYj2gGxUG02Q8OQZ8QgodQ,2023-07-02,38400.0,26502,1.0,7.5,0.0,0.0,810,"26,532"
GOLDEGA,channel/UCw_MQ1w5dfEN5JaaRxDOifQ,2023-07-28,11300.0,26746,1.0,7.5,0.0,0.0,810,"9,941"
Gyan Shadow,channel/UCgBM3qNKNzH2k7G7MEBH7nw,2023-05-12,6470.0,25942,0.0,0.0,0.0,0.0,0,"16,926"
Happy24 Club,channel/UC3PL8FtJojmo72ZCsuVSz5Q,2023-06-14,4940.0,26281,1.0,3.0,0.0,0.0,347,"6,709"
HashOnTube,channel/UCFVfxIntmF_fSFLQhygGcGA,2023-05-12,4830.0,25954,7.0,21.0,0.0,0.0,"2,429","18,443"
HelpInvest,channel/UC5G0DH35dB8Ic3TIyv_liJA,2023-07-28,3160.0,26736,0.0,0.0,0.0,0.0,0,"3,652"
Hitasyurek,channel/UCMNKSRXQneNk1kXuvafYZ0A,2023-07-21,1660.0,26635,0.0,0.0,0.0,0.0,0,"3,921"
Hype Fox,channel/UCB9C1HluZ8YOLOYobU0SrYw,2023-07-01,40700.0,26495,0.0,0.0,0.0,0.0,0,"22,727"
ICO today,channel/UCNt6FYvI4hx6JhIuro6cD_g,2023-06-07,1370.0,26191,0.0,0.0,0.0,0.0,0,"5,000"
ICOline,channel/UCcs5JTQEcTQnYSKeWIyXcwQ,2023-07-28,1740.0,26748,0.0,0.0,0.0,0.0,0,"3,652"
Infosite - только лучшие сайты,channel/UCj7jWO1FlRE95kvSl323e8g,2023-07-24,57800.0,26678,7.0,105.0,0.0,195.0,"34,698","65,935"
INTER БАБКИ,channel/UCgOcZHMJuL-tUFeY6M_nNZQ,2023-08-04,134.0,26839,4.0,12.0,20.0,0.0,"3,701","3,701"
invesmets ,channel/UCKjyJ-zdJWf5bNCZ8OBrlgw,2023-07-08,6750.0,26487,10.0,75.0,0.0,0.0,"8,675","25,732"
InvestDecentralized,channel/UCOsfDFdYiRYtoMq3nWrWZ6g,2023-04-06,57.0,21874,0.0,0.0,0.0,0.0,0,"15,500"
INVESTHACKMAN,channel/UCIfl1M2YLHQrcP3T1utz_fA,2023-08-07,124.0,27032,0.0,0.0,20.0,0.0,"2,313","2,313"
João Farias FX,channel/UC13y436Cf73F3PbANH8bEJw,2023-08-07,18900.0,26964,2.0,15.0,50.0,0.0,"7,518","7,517"
Juliano,channel/UCmAYuDl9iOKeNK4r_gus47w,2023-07-01,23300.0,26494,2.0,15.0,0.0,0.0,"1,735","28,857"
KeepCrypto,channel/UC34VKKEwDPJQwOa5lf07PTA,2023-06-17,355.0,26411,0.0,0.0,0.0,0.0,0,"5,000"
Kelburn Token,channel/UCMbFtzlw_UUMv9ArbwY2FnA,2023-08-01,6940.0,26806,0.0,0.0,0.0,0.0,0,"9,132"
Kozh,channel/UCp1aoqFzyGaMx4s7-PuZAMQ,,361.0,26326,0.0,0.0,0.0,0.0,0,"5,000"
KriptoNFT,channel/UCDr0163lj5GgGC0Wz_8DorQ,2023-08-07,1140.0,26977,4.0,12.0,20.0,0.0,"3,701","3,701"
kriptoRU70,channel/UC5tHcpXAIKiA-U598TWGG1g,2023-08-02,704.0,26702,3.0,9.0,0.0,0.0,"1,041","4,692"
Ktg Official,channel/UCOwMPtEBSdP954d6SE1ci_w,2023-05-10,8040.0,25946,1.0,7.5,0.0,0.0,810,"62,695"
Kyle Chasse,channel/UCYLxoSziVePq9rpptc8lEwA,,41300.0,25838,0.0,0.0,0.0,0.0,0,"32,750"
LADYGIN,channel/UCHUJTsEhwx3NkmW62Lk4Mtw,2023-07-30,309.0,26770,0.0,0.0,0.0,0.0,0,"3,652"
LIFE CRIPTO,channel/UCKMF1kgUT6GzD3XDkGkPanw,2023-07-05,524.0,26517,8.0,24.0,0.0,0.0,"2,776","16,582"
LiteLiger,channel/UCiz9xt9vtTRD2FMd-J6l_CQ,2023-05-25,32700.0,26072,3.0,22.5,0.0,0.0,"2,545","42,028"
Little & Big,channel/UChm7HLvQbEC58HAyJFpngDg,2023-05-26,7420.0,22339,0.0,0.0,0.0,0.0,0,"22,727"
LLoyD Crypto ,channel/UCFBVLdQwE5tHEPEyCtCZaqw,2023-06-14,3710.0,26290,2.0,6.0,0.0,0.0,694,"6,801"
lofingv,channel/UCyl0lJPGkJl4kQKHj5doonA,2023-05-22,432.0,21904,0.0,0.0,0.0,0.0,0,"5,000"
Lora Davis,channel/UCTeW98JGSO-ih1lomuru7IA,2023-07-18,19900.0,26604,0.0,0.0,0.0,0.0,0,"8,676"
Made in Blockchain,channel/UCAGjLNaKfcRcoAdIfFClKZA,2023-07-23,129000.0,26664,1.0,15.0,0.0,0.0,"1,735","21,341"
Made in Ukraine,channel/UC5rFFLCXAsE0YWyqjVlHkvw,2023-06-08,129.0,26098,0.0,0.0,0.0,0.0,0,"9,280"
Martin cash,channel/UCn8IDQAma_e9ma_7gw2D_ow,2023-07-01,34200.0,26493,1.0,7.5,0.0,0.0,810,"23,536"
Michael Whitman,channel/UCnf_4MBIr--PcLdQyKuGzPQ,2023-07-31,73000.0,26745,29.0,225.0,0.0,0.0,"26,024","44,287"
Miscellaneous about Crypto,channel/UCMFOGK79SpscsziFQiJP5rw,2023-05-29,113.0,26091,0.0,0.0,0.0,0.0,0,"7,700"
Money Meadow,channel/UC94ulZpoqM5QcYgGaY-9I9g,2023-08-04,786.0,26843,17.0,45.0,20.0,0.0,"7,518","7,517"
Money Start Заработок в интернете,channel/UCz-aZc2OzYPBlDmbpTYcrrA,2023-08-07,7020.0,26819,13.0,97.5,50.0,0.0,"17,002","17,002"
MONITORING PLYS!,channel/UCRM8Fa-04KcawdaR1U9NErw,2023-08-08,851.0,27104,1.0,3.0,20.0,0.0,"2,660","2,660"
MrPrince,channel/UCKEwV2GANCcgTKNcNdaoqdQ,2023-07-03,124000.0,26507,0.0,0.0,0.0,0.0,0,"22,727"
NanekTV,channel/UCLgw3i-z7BsUT8Tw4KV9k4w,2023-07-31,463.0,26788,0.0,0.0,0.0,0.0,0,"3,652"
Natyk Crypto,channel/UCIGV6xOcdwETvvb-pnmn3iw,2023-07-01,215.0,26490,3.0,9.0,0.0,0.0,"1,041","10,130"
NeuroCrypt,channel/UC7tLP1VS3KDGYwisrCNuj_w,2023-06-17,128.0,26306,0.0,0.0,0.0,0.0,0,"5,000"
NFTS UP,channel/UCqvg2BplX8aEyXis4Xbe_jg,2023-08-09,1020.0,27179,0.0,0.0,20.0,0.0,"2,313","2,313"
Nishtyak - заробіток в інтернеті!,channel/UCPLb2mmJjI2ajvB9hrFNpYA,2023-07-27,9050.0,26716,2.0,15.0,0.0,0.0,"1,735","11,537"
Ovodoff,channel/UC4V2TIqV-rnBncBovskE1eA,2023-07-28,2830.0,26747,19.0,45.0,0.0,0.0,"5,205","8,856"
Peca_Crypto,channel/UCFzuGkFOLjgX7Pzf-m8b5BQ,2023-06-03,539.0,26147,15.0,45.0,0.0,0.0,"5,205","48,704"
Pray To Profit,channel/UC6PUBYKPcfLKpuNrclNz2QA,2023-07-12,22700.0,26555,1.0,7.5,0.0,0.0,810,"23,427"
PRO Mining,channel/UCviqKxlMnZqBipTzwixkGyg,2023-06-17,31400.0,26387,0.0,0.0,0.0,0.0,0,"12,500"
Probas,channel/UCCx8u7K4DQoY6ZD6QtB1BXw,2023-08-07,99.0,26968,15.0,45.0,20.0,0.0,"7,518","7,517"
Profitrole,channel/UCr-rC0r-SLlvPbZoVc_91Lg,2023-08-08,1440.0,27112,47.0,45.0,20.0,0.0,"7,518","7,517"
ProxXx,channel/UC6B6aRwo4h3YD3XDgGRnKzg,2023-06-15,50.0,26300,0.0,0.0,0.0,0.0,0,"6,363"
Purple Money,channel/UCjWMMPgMdJ9Fwt4kIJsM4pA,2023-04-04,1530.0,25761,1.0,3.0,0.0,0.0,347,"9,900"
RABOTADOMA,channel/UCMmX3c45aAabOzsbhagai4g,2023-07-31,5740.0,26798,19.0,112.5,0.0,0.0,"12,954","22,085"
RINA CRYPTO,channel/UC98xJsERn9k8xLWMS5LQx0g,2023-08-05,32800.0,26608,3.0,22.5,50.0,0.0,"8,328","8,327"
Robert Cole,channel/UCr3LtGXe6BNvwmHploLx0vg,2023-06-14,2660.0,7692,0.0,0.0,0.0,0.0,0,"5,000"
Rocket Star,channel/UCvCiZbbWp0qA0fPjMXAb9zw,2023-04-02,1940.0,21903,0.0,0.0,0.0,0.0,0,"17,000"
Roland Morozov,channel/UC9uzALcD31qfiM-75R5Cqlw,2023-07-05,2630.0,26515,6.0,18.0,0.0,0.0,"2,082","65,790"
RollerCoinUA,channel/UCyflZ_DirN8SLl2-QES3g6g,2023-06-11,141.0,26239,5.0,15.0,0.0,0.0,"1,735","18,269"
Roman Pushka,channel/UCQDpSeGqIjwnn_FN-hDy25Q,2023-08-10,110000.0,26628,2.0,30.0,0.0,0.0,"3,470","3,469"
Ruslan Nestserau,channel/UCCCcvO8nyuClolGVMSu5_uw,2023-08-05,1550.0,26873,2.0,6.0,20.0,0.0,"3,007","3,007"
Sakolik,channel/UCOMGZkhTqLeY_paj3_Y9zvA,2023-08-07,470.0,26992,2.0,6.0,20.0,0.0,"3,007","3,007"
