Name,Attributes,Forum Link,Forum Report Source,Grade Name,Group,Handbook Link,JSG Grading Status,Notion Link,Notion Source Link,Parent Score,Proposal Link,Score,Score Notes,Spot Check Completed,Submitted [Block],Submitted [Timestamp],Submitted [date/time],Subscores
Inadequate Report,"Catastrophic Errors, Grade, Spot Check",,,,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/human-resources-score.md#inadequate-report,Not Completed,,,,,,,No,,,,
HR Report,"Group Specific Scores, Subscore",https://dao.joystream.org/#/forum/thread/344?post=716,,REPORT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#report_score,Completed,,,HR Score (Council%2013/Council%20Period%2013/HR%20Score%20d3f011568da9461aa8adf45e227fdbc4.md),,1,On time,No,1395535,,,
Total Breaches of Policy,"Catastrophic Errors, Grade, Spot Check",,,TOTAL_BREACHES_OF_POLICY,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#moderation_score,Completed,,,"Moderation Score (Council%2013/Council%20Period%2013/Moderation%20Score%20f35a1cb86d584032be2379137a2ae28c.md), Curation Testing Score (Council%2013/Council%20Period%2013/Curation%20Testing%20Score%2086becc51a70b40e5b0ecc99f1a911cfc.md)",,,,No,,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Forum,,Completed,,,Forum Score (Council%2013/Council%20Period%2013/Forum%20Score%200d5c447793484d61b4e3552801e5a339.md),,0.589,,No,,,,"WG Period Plan (Council%2013/Council%20Period%2013/WG%20Period%20Plan%20ff354e0b37ec4458807cafcf411faec1.md), WG Summary (Council%2013/Council%20Period%2013/WG%20Summary%2009d658e89fef45c3b78335159951151e.md), WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%2017b178238b024852bd3e6f17a945e8d5.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%2098e8726c82e1414680022f4c432c265e.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%20af43272fa52e4706a7fcd5b0f73b1c42.md), WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%204d3f547e18484881857f9f81aecf4b97.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%205bf4276f4c7b4a9083809c7ae8d14e02.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%20417ba1311caa4098925ba96e44435505.md)"
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/314,,PLAN_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md),,0.8,Late submission,No,1316085,,,
Builder Score,"Composite Grade, Master Score",,,BUILDER_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/builders-score.md#score,Completed,,,Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),,0.847,,No,,,,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20ffe15f7802404037b3af1b9425741817.md), Builders Report (Council%2013/Council%20Period%2013/Builders%20Report%205928ce63b82445d7933ca402b3be8faa.md), Testing (Council%2013/Council%20Period%2013/Testing%20f0761bf519f6448e83eaa92c7ac72ecd.md), Pioneer Development (Council%2013/Council%20Period%2013/Pioneer%20Development%2092aec1ab5ba448d79837b08843ac1928.md), General Development (Council%2013/Council%20Period%2013/General%20Development%20f5025f31ad41477a871f5d5a93e02b84.md)"
Pioneer Development,"Grade, Group Specific Scores, Spot Check, Subscore",,,PIONEER_DEVELOPMENT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#pioneer_development_score,Completed,,,Builder Score (Council%2013/Council%20Period%2013/Builder%20Score%204271b831b6884c638e69914cc1aa69c5.md),,0.667,,No,,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e771b850fd0a4876a53b3a1d75b48c60.md),,1,,No,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Plan, Proposal",https://dao.joystream.org/#/forum/thread/329,,PLAN_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e771b850fd0a4876a53b3a1d75b48c60.md),,0.8,Late submission,No,1360062,,,
Permanent Data Object Loss,"Catastrophic Errors, Grade, Spot Check",,,,Storage,https://github.com/Joystream/handbook/blob/58e635d7391893b718b137c69a182199aeb66ab8/testnet/council-period-scoring/storage-providers-score.md#permanent-data-object-loss,Not Completed,,,,,,,No,,,,
Missed runtime upgrade,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#missed-runtime-upgrade,Completed,,,,,,,No,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",https://dao.joystream.org/#/forum/thread/331,,SUMMARY_SCORE,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md),,1,On time,No,1377250,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2064a9fad469194a6eb58b86b8510ff9dc.md),,0.111,,No,,,,
System,"Grade, Group Specific Scores, Subscore",,,SYSTEM_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/storage-providers-score#system_score,Completed,,,Storage Score (Council%2013/Council%20Period%2013/Storage%20Score%2011bb09839a654b49b106dd69c97846fb.md),,0.75,,No,,,,
Council Period Summary,"Document, Forum Post, Grade, Master Score, Proposal",https://dao.joystream.org/#/forum/thread/325?post=719,https://dao.joystream.org/#/forum/category/4,SUMMARY_SCORE,Council,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/README.md#council-period-summary,Completed,,,Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),,0.9,Late submission,No,1397318,,,
Storage Score,"Composite Grade, Master Score",,,STORAGE_SCORE,Storage,,Completed,,,Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),,0.637,,No,,,,"Uploads (Council%2013/Council%20Period%2013/Uploads%2046251f7d406446dda326e3efeab8908a.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e2b0036082964c1f95d9bf7662387a4f.md), System (Council%2013/Council%20Period%2013/System%209818ab29f7564a899d2be0ce89aa573b.md), Storage Report (Council%2013/Council%20Period%2013/Storage%20Report%200dde8ff4ad2c4c7db2ae27bd9e4c4852.md), Logging (Council%2013/Council%20Period%2013/Logging%2021d73951ac834fc3a55e1f5b2db564b0.md)"
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore, Summary",https://dao.joystream.org/#/forum/thread/338,,SUMMARY_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md)",,1,On time,No,1387407,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Builders,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20ffe15f7802404037b3af1b9425741817.md),,1,,No,,,,
Recruiting Score,Group Specific Scores,,,RECRUITING_SCORE,Marketing,,Completed,,,,,1,,No,,,,
System,"Grade, Group Specific Scores, Spot Check, Subscore",,,SYSTEM_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/distributors-score#system_score,Completed,,,Distributor Score (Council%2013/Council%20Period%2013/Distributor%20Score%2036f981fbcc494a1aaa3e1be2ebb7d4b5.md),,0.167,,No,,,,
Block time too low,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#block-time-too-low,Completed,,,,,,,No,,,,
Testing,"Grade, Group Specific Scores, Spot Check, Subscore",,,TESTING_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score#testing_score,Completed,,,Builder Score (Council%2013/Council%20Period%2013/Builder%20Score%204271b831b6884c638e69914cc1aa69c5.md),,0.867,,No,,,,
WG Summary,"Document, Forum Post, General WG Score, Grade, Subscore, Summary",https://dao.joystream.org/#/forum/thread/340,,SUMMARY_SCORE,Distributors,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2064a9fad469194a6eb58b86b8510ff9dc.md),,1,On time,No,1388207,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Marketing,,Completed,,,Forum Score (Council%2013/Council%20Period%2013/Forum%20Score%200d5c447793484d61b4e3552801e5a339.md),,0.795,,No,,,,"WG Summary (Council%2013/Council%20Period%2013/WG%20Summary%2009d658e89fef45c3b78335159951151e.md), WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%2017b178238b024852bd3e6f17a945e8d5.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%2098e8726c82e1414680022f4c432c265e.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%20af43272fa52e4706a7fcd5b0f73b1c42.md), WG Period Plan (Council%2013/Council%20Period%2013/WG%20Period%20Plan%20e3c7d60cc20045468373d1ba819b65d2.md), WG Summary (Council%2013/Council%20Period%2013/WG%20Summary%206dcc72a978724b449f11fe7685c92252.md), WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%204d3f547e18484881857f9f81aecf4b97.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%205bf4276f4c7b4a9083809c7ae8d14e02.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%20417ba1311caa4098925ba96e44435505.md)"
Moderation Score,"Group Specific Scores, Subscore",,,MODERATION_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Completed,,,Content Score (Council%2013/Council%20Period%2013/Content%20Score%20c264de5c24ac4e1eb1499e23ba0af73d.md),,0.5,,No,,,,Total Breaches of Policy (Council%2013/Council%20Period%2013/Total%20Breaches%20of%20Policy%20ebe75b2c9a5a4e5cb1346e3b321b5a2a.md)
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2064a9fad469194a6eb58b86b8510ff9dc.md),,0.83,,No,,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md,Completed,,,Distributor Score (Council%2013/Council%20Period%2013/Distributor%20Score%2036f981fbcc494a1aaa3e1be2ebb7d4b5.md),,0.588,,No,,,,"WG Period Plan (Council%2013/Council%20Period%2013/WG%20Period%20Plan%20b05f8b547733426c9f8d9db3e7144980.md), WG Summary (Council%2013/Council%20Period%2013/WG%20Summary%2024997c32fb8a4fe19038f57298fe2c05.md), WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%20f8949ad7f0884d6a984ac56d12d96064.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%20298366f2b1374354b53a46b8b0fd5dab.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%20d79feb1dea83481bab836318f55bdad6.md)"
WG Summary,"Document, Forum Post, General WG Score, Grade, Proposal, Summary",https://dao.joystream.org/#/forum/thread/344,,SUMMARY_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-summary,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20d92b2286d608415dbc8dd29cf92788fa.md),,1,On time,No,1391562,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20d92b2286d608415dbc8dd29cf92788fa.md),,1,,No,,,,
Builders Report,"Document, Forum Post, Grade, Group Specific Scores, Subscore",https://dao.joystream.org/#/forum/thread/343,,REPORT_SCORE,Builders,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/builders-score,Completed,,,Builder Score (Council%2013/Council%20Period%2013/Builder%20Score%204271b831b6884c638e69914cc1aa69c5.md),,0.9,On time,No,1390770,,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Forum,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md)",,1,,No,,,,
WG Period Plan,"Document, Forum Post, General WG Score, Grade, Proposal, Subscore",https://dao.joystream.org/#/forum/thread/311,,PLAN_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#working-group-period-plan,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e2b0036082964c1f95d9bf7662387a4f.md),,0.8,Late submission,No,1303618,,,
WG Opportunities,"General WG Score, Grade, Spot Check, Subscore",,,WORKER_OPPORTUNITIES_SCORE,Storage,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e2b0036082964c1f95d9bf7662387a4f.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20ffe15f7802404037b3af1b9425741817.md)",,1,,No,,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,HR,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20d92b2286d608415dbc8dd29cf92788fa.md),,1,,No,,,,
Upgrading non-Jsgenesis runtime,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#upgrading-non-jsgenesis-runtime,Completed,,,,,,,No,,,,
Moderation Score,"Grade, Group Specific Scores, Spot Check",,,MODERATION_SCORE,Forum,https://github.com/Joystream/handbook/blob/e9747eb6c4501b603f85bd35993faa8a057ac673/testnet/council-period-scoring/forum-score.md#moderation_score,Completed,,,Forum Score (Council%2013/Council%20Period%2013/Forum%20Score%200d5c447793484d61b4e3552801e5a339.md),,1,,No,,,,
Content Report,"Forum Post, Group Specific Scores",,,REPORT_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#report_score,Completed,"Report 20.06.2022 - 26.06.2022 (https://www.notion.so/Report-20-06-2022-26-06-2022-f77051f2c3084fe5a83f1bedffd77977?pvs=21) ",,Content Score (Council%2013/Council%20Period%2013/Content%20Score%20c264de5c24ac4e1eb1499e23ba0af73d.md),,0.3,"On time, Only done on Notion",No,1360242,,,
Bounty Score,"General WG Score, Subscore",,,BOUNTY_SCORE,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e771b850fd0a4876a53b3a1d75b48c60.md),,0,,No,,,,
Documentation Score,"Grade, Subscore",,,DOCUMENTATION_SCORE,Marketing,,Not Completed,,,,,,,No,,,,
General WG Score,"Composite Grade, General WG Score",,,GENERAL_WG_SCORE,Storage,,Completed,,,Storage Score (Council%2013/Council%20Period%2013/Storage%20Score%2011bb09839a654b49b106dd69c97846fb.md),,0.76,,No,,,,"WG Summary (Council%2013/Council%20Period%2013/WG%20Summary%202660b34df7124342a4dfe46785f1bc08.md), WG Period Plan (Council%2013/Council%20Period%2013/WG%20Period%20Plan%2051422530c4db4083a26e3a95ffb3e192.md), WG Opportunities (Council%2013/Council%20Period%2013/WG%20Opportunities%20d2cdbc21ad7344ac963304f21f48ce26.md), Opening Score (Council%2013/Council%20Period%2013/Opening%20Score%20de3791e6e582434bbc16b2f0d58b1eda.md), Bounty Score (Council%2013/Council%20Period%2013/Bounty%20Score%20fe7f993e5c164cbfab346aaabee356ea.md)"
Distributor Score,"Composite Grade, Master Score",,,DISTRIBUTOR_SCORE,Distributors,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/distributors-score.md#score,Completed,,,Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),,0.371,,No,,,,"System (Council%2013/Council%20Period%2013/System%20e79c4a6f723049f58f22550b2272888a.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2064a9fad469194a6eb58b86b8510ff9dc.md), Distributors Report (Council%2013/Council%20Period%2013/Distributors%20Report%2098fc4ed3596c4c40aca3a1134b8ba258.md)"
Marketing Score,Master Score,,,MARKETER_SCORE,Marketing,,Completed,,,,,0.738,,No,,,,
WG Opportunities,"Document, Forum Post, General WG Score, Grade",,,WORKER_OPPORTUNITIES_SCORE,Forum,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/general-working-group-score#worker-opportunities,Completed,,,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md)",,0.143,,No,,,,
Workflow Violation,Catastrophic Errors,,,,Marketing,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/marketers-score#inadequate-report-1,Not Completed,,,,,,,No,,,,
Featuring Score,"Group Specific Scores, Subscore",,,FEATURING_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#featuring_score,Completed,,,Content Score (Council%2013/Council%20Period%2013/Content%20Score%20c264de5c24ac4e1eb1499e23ba0af73d.md),,0.417,,No,,,,
Marketing Report,"Document, Forum Post, Proposal, Report",https://dao.joystream.org/#/forum/thread/333,,REPORT_SCORE,Marketing,,Data input - grading req,,,,,,,No,1384673,,,
Opening Score,"General WG Score, Subscore",,,OPENING_SCORE,Marketing,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/general-working-group-score.md#score,Completed,,,"General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%2010ea71085e3f44ebb9436f7b2b3772ae.md), General WG Score (Council%2013/Council%20Period%2013/General%20WG%20Score%20e32ff4d633854d3cbb0f3b75e1d5fab3.md)",,0.777,,No,,,,
Bounty Management Score,"Group Specific Scores, Subscore",,,BOUNTY_MANAGEMENT_SCORE,HR,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/human-resources-score#bounty_score,Completed,,,HR Score (Council%2013/Council%20Period%2013/HR%20Score%20d3f011568da9461aa8adf45e227fdbc4.md),,0.7,,No,,,,
Featured Content Unplayable,"Catastrophic Errors, Grade, Spot Check",,,,Content,https://github.com/Joystream/handbook/blob/master/testnet/council-period-scoring/content-directory-score.md#featured-content-unplayable,Completed,,,Content Score (Council%2013/Council%20Period%2013/Content%20Score%20c264de5c24ac4e1eb1499e23ba0af73d.md),,,,No,,,,
Member Faucet Empty,"Catastrophic Errors, Grade, Spot Check",,,,Council,https://github.com/Joystream/handbook/tree/master/testnet/council-period-scoring#member-faucet-empty,Completed,,,,,,,No,,,,
Curation Testing Score,"Group Specific Scores, Subscore",,,CURATION_TESTING_SCORE,Content,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring/content-directory-score#moderation_score,Completed,,,Content Score (Council%2013/Council%20Period%2013/Content%20Score%20c264de5c24ac4e1eb1499e23ba0af73d.md),,0,,No,,,,Total Breaches of Policy (Council%2013/Council%20Period%2013/Total%20Breaches%20of%20Policy%20ebe75b2c9a5a4e5cb1346e3b321b5a2a.md)
Council Period Plan,"Document, Forum Post, Grade, Master Score, Proposal",https://dao.joystream.org/#/forum/thread/308?post=696,https://dao.joystream.org/#/forum/category/4,PLAN_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-period-plan,Completed,,,Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),,0.8,Late submission,No,1346001,,,
Meeting score,"Forum Post, Master Score",,,MEETING_SCORE,Council,https://joystream.gitbook.io/testnet-workspace/testnet/council-period-scoring#council-handover-meeting,Completed,,,Network Performance Score (Council%2013/Council%20Period%2013/Network%20Performance%20Score%2051c2c52edebb4e12a90140beda41349a.md),,0.9,,No,,,,
