Title,Column 1,Column 2,Column 3,Column 4,Column 5,Comment
Nugget's News,https://www.youtube.com/c/NuggetsNews,222K,17M,"Jan 4, 2017",https://twitter.com/AlexSaundersAU,
Blockchain Backer,https://www.youtube.com/c/BlockchainBacker,199K,9.2M,"Mar 6, 2018",https://twitter.com/BlockchainBackr,
Crypto Capital Venture,https://www.youtube.com/c/CryptoCapitalVenture,227K,19M,"Aug 4, 2017",https://twitter.com/cryptorecruitr,
CoinGecko,https://www.youtube.com/c/CoinGecko,202K,5M,"Dec 13, 2018",https://twitter.com/coingecko,
CryptoBud,https://www.youtube.com/c/CryptoBud,193K,17M,"Oct 12, 2017",https://twitter.com/CRYPTO_BUD,
BlockchainBrad,https://www.youtube.com/c/BlockchainBrad,181K,9.2M,"Mar 6, 2018",https://twitter.com/Brad_Laurie,
BeInCrypto,https://www.youtube.com/c/BeInCrypto,185K,8M,"May 29, 2018",https://twitter.com/beincrypto,
Bitraged,https://www.youtube.com/c/Bitraged,174K,6.3M,"Feb 10, 2018",https://twitter.com/Bitraged,
Cointelegraph,https://www.youtube.com/c/Cointelegraph,172K,32M,"Apr 25, 2013",https://twitter.com/Cointelegraph,
Crypto Crow,https://www.youtube.com/c/CryptoCrow,139K,8.2M,"Jul 13, 2017",https://twitter.com/JasonAppleton,
Crypto Love,https://www.youtube.com/c/CryptoLove,137K,8.1M,"Dec 13, 2017",https://twitter.com/TheCryptoLove,
EllioTrades Crypto,https://www.youtube.com/c/EllioTradesCrypto,149K,6.2M,"Sep 26, 2017",https://twitter.com/elliotrades,
Alessio Rastani,https://www.youtube.com/c/AlessioRastani,146K,9M,"Mar 29, 2006",https://twitter.com/alessiorastani,
Koroush AK,https://www.youtube.com/c/KoroushAK,157K,5M,"Jan 19, 2017",https://twitter.com/KoroushAK,
The Crypto Sniper,https://www.youtube.com/c/TheCryptoSniper,137K,5.6M,"Dec 7, 2016",https://twitter.com/_cryptosniper_,
Crypto Zombie VIP,https://www.youtube.com/c/CryptoZombieVIP,167K,1.5M,"Jan 9, 2020",https://twitter.com/TheCryptoZombie,
Altcoin Daily,https://www.youtube.com/c/AltcoinDaily,121K,9M,"Jan 22, 2018",https://twitter.com/AltcoinDailyio,
The Moon,https://www.youtube.com/c/TheMoonCarl,121K,11M,"Mar 7, 2019",https://twitter.com/TheMoonCarl,
CryptoSrus,https://www.youtube.com/c/CryptoSrus,136K,18M,"Apr 5, 2017",https://twitter.com/Crypto_Surgeon,
Crypto Daily,https://www.youtube.com/c/CryptoDaily,130K,7M,"Mar 10, 2017",https://twitter.com/Crypto_Daily,
BitBoy Crypto,https://www.youtube.com/c/BitBoyCrypto,126K,14M,"Sep 6, 2018",https://twitter.com/Bitboy_Crypto,
Crypto Fiend,https://www.youtube.com/c/CryptoFiend,128K,4.4M,"Aug 31, 2017",https://twitter.com/cryptoSqueeze,
BitBoy Crypto News,https://www.youtube.com/c/BitBoyCryptoNews,133K,3.9M,"Sep 6, 2018",https://twitter.com/Bitboy_Crypto,
Ivan on Tech,https://www.youtube.com/c/IvanonTech,132K,13M,"Jun 19, 2013",https://twitter.com/IvanOnTech,
Crypto Coin News,https://www.youtube.com/c/CryptoCoinNews,126K,46M,"Sep 1, 2014",https://twitter.com/CryptoCoinNewz,
Crypto Lark,https://www.youtube.com/c/CryptoLark,116K,7.6M,"Oct 21, 2013",https://twitter.com/TheCryptoLark,
Crypto Tips,https://www.youtube.com/c/CryptoTips,118K,7.1M,"Nov 17, 2016",https://twitter.com/cryptotipsu,
Boxmining,https://www.youtube.com/c/boxmining,119K,11M,"Nov 5, 2015",https://twitter.com/boxmining,
George Tung,https://www.youtube.com/c/GeorgeTungCrypto,118K,6.2M,"Jan 1, 2018",https://twitter.com/GeorgeTungCrypto,
Coin Bureau,https://www.youtube.com/c/CoinBureau,116K,4.4M,"Feb 19, 2018",https://twitter.com/TheCoinBureau,
Chico Crypto,https://www.youtube.com/c/ChicoCrypto,115K,10M,"May 28, 2018",https://twitter.com/ChicoCrypto,
KryptosChain,https://www.youtube.com/c/KryptosChain,101K,2.6M,"Oct 2, 2017",https://twitter.com/KryptosChain,
The Modern Investor,https://www.youtube.com/c/ModernInvestor,113K,12M,"Apr 9, 2016",https://twitter.com/ModernInvest,
Coin Bureau Insider,https://www.youtube.com/c/CoinBureauInsider,103K,2.5M,"May 8, 2018",https://twitter.com/TheCoinBureau,
Crypto Zombie,https://www.youtube.com/c/CryptoZombie,100K,7.5M,"Apr 19, 2018",https://twitter.com/TheCryptoZombie,
MMXIVbit,https://www.youtube.com/c/MMXIVbit,108K,3.3M,"Aug 12, 2017",https://twitter.com/mmxivbit,
Crypto Jebb,https://www.youtube.com/c/CryptoJebb,98.6K,4.4M,"Oct 10, 2017",https://twitter.com/CryptoJebb,
Sunny Decree,https://www.youtube.com/c/SunnyDecree,98.5K,10M,"Mar 22, 2013",https://twitter.com/SunnyDecree,
Crypto Crow,https://www.youtube.com/c/CryptoCrow,96.8K,5.5M,"Jul 19, 2017",https://twitter.com/jasonappleton,
Blockchain Backer,https://www.youtube.com/c/BlockchainBacker,95.9K,3.3M,"Oct 15, 2017",https://twitter.com/BCBacker,
Davincij15,https://www.youtube.com/c/Davincij15,90.5K,5.5M,"Apr 16, 2016",https://twitter.com/Davincij15,
Hashoshi,https://www.youtube.com/c/Hashoshi4,92.6K,1.8M,"Sep 25, 2017",https://twitter.com/hashoshi4,
Ben Armstrong,https://www.youtube.com/c/BenArmstrong,89.8K,3.7M,"Dec 9, 2016",https://twitter.com/Ben__Armstrong,
Crypto Love,https://www.youtube.com/c/CryptoLove,89.5K,5.5M,"Mar 10, 2017",https://twitter.com/TheCryptoLove,
Trade Devil,https://www.youtube.com/c/TradeDevil,88.3K,2.7M,"Oct 9, 2016",https://twitter.com/TheTradeDevil,
Sheldon Evans,https://www.youtube.com/c/SheldonEvans,88.6K,3.3M,"May 23, 2011",https://twitter.com/sheldonevans,
DataDash,https://www.youtube.com/c/DataDash,84.3K,7.8M,"May 5, 2017",https://twitter.com/Nicholas_Merten,
Crypto Jack,https://www.youtube.com/c/CryptoJack,85.6K,6.1M,"Oct 31, 2016",https://twitter.com/CryptoJackk,
Bitsaway1,https://www.youtube.com/c/Bitsaway1,86.9K,2.2M,"Aug 26, 2016",https://twitter.com/bitsaway1,
The Modern Investor,https://www.youtube.com/c/TheModernInvestor,76.4K,9.7M,"Mar 14, 2018",https://twitter.com/ModernInvest,
Crypto Zombie Trades,https://www.youtube.com/c/CryptoZombieTrades,82.6K,622K,"Mar 23, 2021",https://twitter.com/TheCryptoZombie,
CryptoStache,https://www.youtube.com/c/CryptoStache,78.5K,2.1M,"Nov 2, 2017",https://twitter.com/CryptoStache,
Boxmining,https://www.youtube.com/c/Boxmining,76.7K,5.6M,"Sep 15, 2016",https://twitter.com/boxmining,
Chico Crypto,https://www.youtube.com/c/ChicoCrypto,77.7K,5.5M,"Aug 8, 2017",https://twitter.com/ChicoCrypto,
DeFi Dad,https://www.youtube.com/c/DeFiDad,74.4K,1.1M,"Jul 2, 2020",https://twitter.com/DeFi_Dad,
Crypto Kirby Trading,https://www.youtube.com/c/CryptoKirbyTrading,67.9K,2.6M,"Nov 12, 2017",https://twitter.com/CryptoKirby,
Ivan on Tech,https://www.youtube.com/c/IvanonTech,73.1K,16M,"Nov 22, 2013",https://twitter.com/IvanOnTech,
CryptoWendyO,https://www.youtube.com/c/CryptoWendyO,72.4K,2.7M,"Sep 4, 2017",https://twitter.com/CryptoWendyO,
Altcoin Daily,https://www.youtube.com/c/AltcoinDaily,70.2K,8.9M,"Dec 23, 2017",https://twitter.com/AltcoinDailyio,
Ready Set Crypto,https://www.youtube.com/c/ReadySetCrypto,68.6K,2.7M,"Mar 17, 2017",https://twitter.com/readysetcrypto,
Crypto Tips,https://www.youtube.com/c/CryptoTips,73.9K,4M,"May 27, 2015",https://twitter.com/TheCryptoTips,
Lark Davis,https://www.youtube.com/c/LarkDavis,69.9K,4.8M,"Dec 2, 2013",https://twitter.com/TheCryptoLark,
Nugget's News,https://www.youtube.com/c/NuggetsNews,72.8K,3.9M,"Dec 3, 2012",https://twitter.com/nugget_alex,
Sunny Decree,https://www.youtube.com/c/SunnyDecree,64.8K,5.5M,"Aug 14, 2016",https://twitter.com/sunnydecree,
Crypto Capital Venture,https://www.youtube.com/c/CryptoCapitalVenture,67.6K,6.3M,"Oct 1, 2017",https://twitter.com/cryptorecruitr,
Crypto Blood,https://www.youtube.com/c/CryptoBlood,67.3K,4M,"Aug 3, 2017",https://twitter.com/CryptoBlood_,
CryptoLark Live,https://www.youtube.com/c/CryptoLarkLive,67.4K,2.2M,"Aug 5, 2017",https://twitter.com/TheCryptoLark,
Crypto Zombie,https://www.youtube.com/c/CryptoZombie,65.4K,4.2M,"Feb 9, 2018",https://twitter.com/TheCryptoZombie,
BlockchainBrad,https://www.youtube.com/c/BlockchainBrad,65.9K,3.5M,"Aug 8, 2017",https://twitter.com/Brad_Laurie,
Decentralized TV,https://www.youtube.com/c/DecentralizedTV,66.9K,2.7M,"Oct 25, 2017",https://twitter.com/decentralizedtv,
Bitcoin for Beginners,https://www.youtube.com/c/BitcoinforBeginners,64.1K,3.3M,"Nov 22, 2013",https://twitter.com/beginnersbtc,
The Crypto Lark,https://www.youtube.com/c/TheCryptoLark,62.6K,3.3M,"Mar 10, 2017",https://twitter.com/TheCryptoLark,
Crypto Zombie,https://www.youtube.com/c/CryptoZombie,63.7K,4.2M,"Feb 9, 2018",https://twitter.com/TheCryptoZombie,
Altcoin Buzz,https://www.youtube.com/c/AltcoinBuzz,61.8K,12M,"Nov 7, 2016",https://twitter.com/Altcoinbuzzio,
Crypto Love,https://www.youtube.com/c/CryptoLove,61.2K,3.7M,"Apr 13, 2017",https://twitter.com/TheCryptoLove,
CryptosRUs,https://www.youtube.com/c/CryptosRUs,60.7K,14M,"Nov 11, 2016",https://twitter.com/CryptosR_Us,
Blockchain Backer,https://www.youtube.com/c/BlockchainBacker,60.5K,3.6M,"Dec 14, 2017",https://twitter.com/blockchainbackr,
David Hay,https://www.youtube.com/c/DavidHay,61.7K,3M,"Jan 5, 2013",https://twitter.com/DavidHayCrypto,
BitBoy Crypto,https://www.youtube.com/c/BitBoyCrypto,61.9K,9.9M,"Dec 18, 2012",https://twitter.com/Bitboy_Crypto,
Crypto Fiend,https://www.youtube.com/c/CryptoFiend,60.3K,3.7M,"Jan 12, 2018",https://twitter.com/Crypto_Fiend,
Crypto Daily,https://www.youtube.com/c/CryptoDaily,60.4K,6.8M,"Aug 17, 2017",https://twitter.com/Crypto_Daily,
CryptoCandor,https://www.youtube.com/c/CryptoCandor,59.9K,2.7M,"Feb 6, 2018",https://twitter.com/CryptoCandor,
Crypto Daily,https://www.youtube.com/c/CryptoDaily,59.6K,6.8M,"Aug 17, 2017",https://twitter.com/Crypto_Daily,
Crypto Crow,https://www.youtube.com/c/CryptoCrow,59.1K,2.7M,"Mar 9, 2017",https://twitter.com/jasonappleton,
Chico Crypto,https://www.youtube.com/c/ChicoCrypto,59K,4.4M,"Jul 5, 2017",https://twitter.com/ChicoCrypto,
Crypto Wendy O,https://www.youtube.com/c/CryptoWendyO,58.8K,1.5M,"Jan 3, 2018",https://twitter.com/CryptoWendyO,
Altcoin Daily,https://www.youtube.com/c/AltcoinDaily,55.8K,12M,"Oct 11, 2017",https://twitter.com/AltcoinDailyio,
Crypto Coin News,https://www.youtube.com/c/CryptoCoinNews,57.2K,8.2M,"Feb 19, 2017",https://twitter.com/CryptoCoinNewz,
Ivan on Tech,https://www.youtube.com/c/IvanonTech,57.9K,7.2M,"Dec 17, 2013",https://twitter.com/IvanOnTech,
Crypto Love,https://www.youtube.com/c/CryptoLove,56.8K,3.7M,"Apr 13, 2017",https://twitter.com/TheCryptoLove,
MMCrypto,https://www.youtube.com/c/MMCrypto,55.9K,4.5M,"Aug 15, 2018",https://twitter.com/MMCrypto,
Crypto Beadles,https://www.youtube.com/c/CryptoBeadles,57.8K,3.6M,"Nov 6, 2012",https://twitter.com/RobertBeadles,
Bitcoin Benny,https://www.youtube.com/c/BitcoinBenny,53.9K,1.9M,"Jan 23, 2018",https://twitter.com/bennydoda01,
Crypto Tips,https://www.youtube.com/c/CryptoTips,55.6K,3.8M,"Jan 27, 2017",https://twitter.com/CryptoFinally,
The Modern Investor,https://www.youtube.com/c/TheModernInvestor,54.4K,12M,"May 28, 2017",https://twitter.com/moderninvest,
Crypto Jebb,https://www.youtube.com/c/CryptoJebb,54.9K,2.2M,"Aug 1, 2017",https://twitter.com/CryptoJebb,
Crypto Love,https://www.youtube.com/c/CryptoLove,53.9K,3.7M,"Apr 13, 2017",https://twitter.com/TheCryptoLove,
