YPP Rewards Payout 14.07-21.07 // JOY-USD = 0.005763
Channel Title,Channel_URL,Subscribers YT,Gleev Channel ID,New Synced Vids,Videos Sync Reward in USD,Sign Up Reward in USD,Latest Referral Reward in USD,Total YPP Rewards in JOY
CryptoCrafter,channel/UCnasCo4UG84TVZke7bHJrHg,448.0,26184,3.0,9.0,0.0,0.0,10492.0
CryptoInvestor,channel/UCUjgSFoW1XhFxaYpdC-TGPA,150000.0,26510,105.0,75.0,0.0,0.0,85741.0
CRYPTOK3SH,channel/UCywTLeUAlTdK8-FhuU8zgww,106.0,26372,0.0,0.0,0.0,0.0,5000.0
CRYPTOLORE,channel/UCkMxXxO38-V-dyqZkdWafPw,119000.0,26512,2.0,30.0,0.0,0.0,63898.0
CryptoNick,channel/UCTYNeqEcVDHCgcbPT0zvB5g,2250.0,26057,1.0,3.0,0.0,0.0,12015.0
Cryptoon,channel/UCKsTKoNOFCSsHeKiQ8pWCDw,1820.0,26279,4.0,12.0,0.0,0.0,18957.0
CryptoPM,channel/UCOxBUBKIrtxrUEWgl9KQluA,62900.0,26569,0.0,0.0,100.0,0.0,17352.0
Cryptor,channel/UCU2jqei6GZGOfvekDZU6AuQ,28000.0,26324,0.0,0.0,0.0,0.0,12500.0
CryptoTime ,channel/UChQ2QwGks4ZQkFzb6kDE23A,21400.0,26492,0.0,0.0,0.0,0.0,22727.0
CryptoToloka,channel/UCryB98FzjZ3KbhdVjCSGYsw,1270.0,26276,0.0,0.0,0.0,0.0,9011.0
CryptoView,channel/UC4toQkkJ6_rxuh-QzzHqrYw,84300.0,26275,2.0,30.0,0.0,0.0,60046.0
DeFi Ascension,channel/UCnx0s2QlUgTrkPxNDWQdqFQ,2170.0,25914,1.0,3.0,0.0,0.0,14752.0
defigen,channel/UC-jcoJHLP9IlzjDs2jt1g4A,5780.0,26152,1.0,7.5,0.0,0.0,17990.0
Dmytro Kraivskyi | Cryptonit,channel/UCUYH2JZ6evdS4CzARwc2obQ,22600.0,26256,2.0,15.0,0.0,0.0,78344.0
Dmytro777,channel/UCSy1Q0IK5raxbqNk6_wXnrQ,109.0,22156,0.0,0.0,0.0,0.0,6470.0
DOUBLETOP,channel/UCdvuYT--R9DlEGDImbzXu-w,68100.0,26422,5.0,75.0,0.0,0.0,87515.0
EAZY CSALPING - КРИПТОВАЛЮТА,channel/UCZxVg_-jxTJ_uqMEGZL1ZKg,12000.0,26277,1.0,7.5,0.0,0.0,21282.0
Flash Cash,channel/UCouVb9db41hnaWt7RF5cc0Q,110000.0,25947,1.0,15.0,0.0,0.0,2602.0
Flash Verse,channel/UCppMkXqJJcywvf2g782lcHg,212000.0,26491,0.0,0.0,0.0,0.0,45454.0
Floating Monkey,channel/UCi0xEPi3qDuawHqBeiMyq8w,74.0,26261,1.0,3.0,0.0,0.0,9081.0
FREEDOOM,channel/UCFTLeWV8iJTjn1Pv_dSCj-w,112.0,22521,24.0,15.0,0.0,0.0,39505.0
funny_men78,channel/UCsCPOBjyK0e5e1Sh9V7itHA,1000.0,26532,1.0,3.0,0.0,0.0,520.0
GEM ZONE,channel/UC1vdmx6PsycoSyrPUiLFxGQ,120000.0,26623,0.0,0.0,100.0,0.0,17352.0
Go To Work,channel/UCPYj2gGxUG02Q8OQZ8QgodQ,36900.0,26502,0.0,0.0,0.0,0.0,25723.0
Gyan Shadow,channel/UCgBM3qNKNzH2k7G7MEBH7nw,6470.0,25942,0.0,0.0,0.0,0.0,16926.0
Happy24 Club,channel/UC3PL8FtJojmo72ZCsuVSz5Q,4940.0,26281,0.0,0.0,0.0,0.0,6363.0
HashOnTube,channel/UCFVfxIntmF_fSFLQhygGcGA,4670.0,25954,1.0,3.0,0.0,0.0,16015.0
Hype Fox,channel/UCB9C1HluZ8YOLOYobU0SrYw,40900.0,26495,0.0,0.0,0.0,0.0,22727.0
ICO today,channel/UCNt6FYvI4hx6JhIuro6cD_g,1370.0,26191,0.0,0.0,0.0,0.0,5000.0
InvestDecentralized,channel/UCOsfDFdYiRYtoMq3nWrWZ6g,57.0,21874,0.0,0.0,0.0,0.0,15500.0
Juliano,channel/UCmAYuDl9iOKeNK4r_gus47w,23400.0,26494,1.0,7.5,0.0,0.0,27123.0
KeepCrypto,channel/UC34VKKEwDPJQwOa5lf07PTA,356.0,26411,0.0,0.0,0.0,0.0,5000.0
Kozh,channel/UCp1aoqFzyGaMx4s7-PuZAMQ,361.0,26326,0.0,0.0,0.0,0.0,5000.0
Ktg Official,channel/UCOwMPtEBSdP954d6SE1ci_w,8010.0,25946,0.0,0.0,0.0,0.0,56553.0
Kyle Chasse,channel/UCYLxoSziVePq9rpptc8lEwA,41300.0,25838,0.0,0.0,0.0,0.0,32750.0
LIFE CRIPTO,channel/UCKMF1kgUT6GzD3XDkGkPanw,467.0,26517,3.0,9.0,0.0,0.0,13219.0
LiteLiger,channel/UCiz9xt9vtTRD2FMd-J6l_CQ,32600.0,26072,2.0,15.0,0.0,0.0,37658.0
Little & Big,channel/UChm7HLvQbEC58HAyJFpngDg,7430.0,22339,0.0,0.0,0.0,0.0,22727.0
LLoyD Crypto ,channel/UCFBVLdQwE5tHEPEyCtCZaqw,3620.0,26290,1.0,3.0,0.0,0.0,5520.0
lofingv,channel/UCyl0lJPGkJl4kQKHj5doonA,433.0,21904,0.0,0.0,0.0,0.0,5000.0
Lora Davis,channel/UCTeW98JGSO-ih1lomuru7IA,19900.0,26604,0.0,0.0,50.0,0.0,8676.0
Made in Ukraine,channel/UC5rFFLCXAsE0YWyqjVlHkvw,129.0,26098,0.0,0.0,0.0,0.0,9280.0
Martin cash,channel/UCn8IDQAma_e9ma_7gw2D_ow,34200.0,26493,0.0,0.0,0.0,0.0,22727.0
Miscellaneous about Crypto,channel/UCMFOGK79SpscsziFQiJP5rw,113.0,26091,0.0,0.0,0.0,0.0,7700.0
MrPrince,channel/UCKEwV2GANCcgTKNcNdaoqdQ,124000.0,26507,0.0,0.0,0.0,0.0,22727.0
Natyk Crypto,channel/UCIGV6xOcdwETvvb-pnmn3iw,193.0,26490,0.0,0.0,0.0,0.0,9090.0
NeuroCrypt,channel/UC7tLP1VS3KDGYwisrCNuj_w,128.0,26306,0.0,0.0,0.0,0.0,5000.0
Oleg PRO Zarabotok,channel/UCT9TJQBCQc2fFZT2qZ4tU8g,1550.0,26244,0.0,0.0,0.0,0.0,10695.0
Peca_Crypto,channel/UCFzuGkFOLjgX7Pzf-m8b5BQ,460.0,26147,8.0,15.0,0.0,0.0,42324.0
Pray To Profit,channel/UC6PUBYKPcfLKpuNrclNz2QA,22800.0,26555,1.0,7.5,0.0,0.0,22618.0
PRO Mining,channel/UCviqKxlMnZqBipTzwixkGyg,31400.0,26387,0.0,0.0,0.0,0.0,12500.0
ProxXx,channel/UC6B6aRwo4h3YD3XDgGRnKzg,51.0,26300,0.0,0.0,0.0,0.0,6363.0
Purple Money,channel/UCjWMMPgMdJ9Fwt4kIJsM4pA,1530.0,25761,0.0,0.0,0.0,0.0,9554.0
Robert Cole,channel/UCr3LtGXe6BNvwmHploLx0vg,2630.0,7692,0.0,0.0,0.0,0.0,5000.0
Rocket Star,channel/UCvCiZbbWp0qA0fPjMXAb9zw,1940.0,21903,0.0,0.0,0.0,0.0,17000.0
Roland Morozov,channel/UC9uzALcD31qfiM-75R5Cqlw,2630.0,26515,8.0,15.0,0.0,0.0,61295.0
RollerCoinUA,channel/UCyflZ_DirN8SLl2-QES3g6g,118.0,26239,3.0,9.0,0.0,0.0,15947.0
SONAS,channel/UCsnshC5psdqB6laFJS8mIiA,1120.0,26132,0.0,0.0,0.0,0.0,6284.0
TECHNO TINKU,channel/UC5T9b4lEmZ6kNlBFrwHMLjw,1360.0,26615,1.0,3.0,20.0,0.0,3990.0
THE TRUST OFFICIAL,channel/UCQ-NZpfQ6nrH4YYR814nIKg,171.0,25744,0.0,0.0,0.0,0.0,5000.0
Tima Morze,channel/UC95WXno_pfeqegxv6xC0x3Q,86.0,26385,0.0,0.0,0.0,0.0,5000.0
TRIGS,channel/UCOYoVj20SuXCmDuEuctgrbA,144000.0,26499,1.0,15.0,0.0,0.0,124932.0
Vi Ma,channel/UCw4PyXd7dF9CT95oDrkPKTg,109.0,26430,0.0,0.0,0.0,0.0,5000.0
Vladyslav,channel/UCbehDkiZtVDh4821XpnlCyQ,63.0,21911,0.0,0.0,0.0,0.0,20300.0
Vladyslav Yakymenko,channel/UCqlrEb-eMHHN4uaPNQHSNRA,3030.0,26190,0.0,0.0,0.0,0.0,5000.0
Web3 with Dustin Lee,channel/UC9XRynABG-YSiGh1iLSk18g,727.0,26258,0.0,0.0,0.0,0.0,5000.0
Yulia Gorenshteyn,channel/UCwpYJlHrMcLpWtTWZOi-1Nw,127.0,25895,0.0,0.0,0.0,0.0,6770.0
ZEFIRIUM,channel/UCgCg8S1W7nwhAqS7EGzDa-Q,345.0,26053,0.0,0.0,0.0,0.0,9525.0
Алексей Адаменко - Криптовалюта,channel/UCewSTV1XOp_mUos_pSFaGCQ,3860.0,26410,4.0,12.0,0.0,0.0,16388.0
Алексей Волков,channel/UCVDqk5ZHu4kVOof7gJeG3cQ,1280.0,25826,30.0,15.0,0.0,0.0,74999.0
Бабкина Крипта,channel/UCQ8FnfuhT1sSilMUSSUC0-A,1010.0,26231,7.0,15.0,0.0,0.0,42899.0
БРАЦЛАВСКИЙ НИКИТА,channel/UCWGjEkcrfaAAKOnlqbQfWwQ,1060.0,26234,8.0,15.0,0.0,0.0,41614.0
Валерий Жиленко,channel/UCTHwXt9F44uhhbwqy8Y9iAQ,57.0,25877,0.0,0.0,0.0,0.0,38458.0
Виктор Подлипаев,channel/UCuJX__5z-t00r_lqsYuMyNA,257.0,25731,5.0,15.0,0.0,0.0,16224.0
Денис Скрипник,channel/UCVxnIxHp7teDXamg5eUyFlw,127.0,26272,0.0,0.0,0.0,0.0,5000.0
Заработай сидя дома,channel/UClyspqT5QnlI1roLYle9wFw,8060.0,26594,0.0,0.0,50.0,0.0,8676.0
Заробіток на Криптовалюті,channel/UCgW-WZKYnVFTYP66MVaOx9A,285.0,26409,2.0,6.0,0.0,0.0,10052.0
Изучаем криптопроекты,channel/UC2J5kCOEI-LRppTb202inXQ,245.0,26283,4.0,12.0,0.0,0.0,13740.0
Илья Торлопов,channel/UC8fnxB0yg1EQ8BqF7yEla5A,143.0,25875,1.0,3.0,0.0,0.0,6120.0
Инвестиции с Grisha Raven,channel/UCLXsgYxMoqH5AoPc4mM64og,29000.0,26384,3.0,22.5,0.0,0.0,48660.0
ИнвестицииBY,channel/UCPU9wV5arBWrVoYeMLM__kA,2820.0,26086,2.0,6.0,0.0,0.0,8988.0
Крипто Батя,channel/UCNdVwrx4lc_41fJRLN9D5CQ,229000.0,26621,0.0,0.0,100.0,0.0,17352.0
Крипто Гамеры,channel/UC_HY84x6rLmbn3whQZkqYCQ,1020.0,26356,0.0,0.0,0.0,0.0,5000.0
Крипто Хомяк,channel/UCJkRzypvKA8GJmscr89IjOw,344.0,26600,0.0,0.0,20.0,0.0,3470.0
КРИПТО ХОМЯК,channel/UCR6TqzqVoyL__ISWOJXws6Q,373.0,26526,2.0,6.0,0.0,0.0,12171.0
Крипто Эфир,channel/UCgcEbCF5h2YQlC3AWrj7tuQ,285.0,25848,0.0,0.0,0.0,0.0,6200.0
Криптовалюта & Майнинг,channel/UCRA7ospWlvISutPG2UueQaw,3180.0,26622,1.0,3.0,20.0,0.0,3990.0
КриптоЗарплата,channel/UC2tZw78IrgFL7mybkKqdlBw,11400.0,26627,0.0,0.0,50.0,0.0,8676.0
Лунный инвестор,channel/UCsKbgGh3FHKuGN6guiNPwcQ,735.0,25763,64.0,15.0,0.0,0.0,94499.0
Мутим на Крипте! ,channel/UCo5siezhTr9mAA5umYHYG1A,3520.0,26242,3.0,9.0,0.0,10.0,15034.0
Олександр Ганненко,channel/UCJgj6KNE_D7ysstHV-DPIbQ,2590.0,26545,0.0,0.0,0.0,0.0,9845.0
После Работы | О крипте ,channel/UC02pb5FR05nOUmyJo3w_vzA,1250.0,26269,2.0,6.0,0.0,0.0,6341.0
Родион Ионов,channel/UC4qLyF7BVMy3zvyWukNp3FQ,111.0,22851,0.0,0.0,0.0,0.0,5300.0
Флиппер с завода,channel/UCZY1N_-NDakRGIXa-zZeDkg,384.0,26442,3.0,9.0,0.0,0.0,7924.0
ЮРАШ CRYPTO NFT ,channel/UCUZvhqKErj2tseXJUvzjUkQ,476.0,23788,4.0,12.0,0.0,0.0,65572.0
🟡 KOLYAN TREND,channel/UChkaWsI-P3LULw2Ptm0Ck2g,5910.0,26363,0.0,0.0,0.0,0.0,52509.0
TOTAL,-,"2,744,231",-,420,992,770,85,"3,378,345"
