"﻿""Name""",Address,Date,Discord,DiscordId,Quest,ReviewDate,ReviewedById,Reward,Status,Twitter,answer
Ardashoff,5EPWyb6fintaspaX4e6115vyx56vmgHb98UEHGpwS4t2BgsN,"February 18, 2023",ardashoff#1826,869969373949988900,Tweet about us,,,83 XP,success,ardashof,https://twitter.com/ardashof/status/1626894227719221248?s=20
Rom4ik!,5GjcaaWEMwr39cAejYa17SkEmotrm9468t8H2Y2oKGbMGFmv,"February 18, 2023",Rom4ik!#6997,954388000400347100,Tweet about us,,,83 XP,success,AltagraciaColo3,https://twitter.com/AltagraciaColo3/status/1626891622444138499?s=20
0xa63c…70c4,1jXdTrBnvfXe5kLjsctH14gSomvBesvTHLD8PbLX1ocGAib,"February 17, 2023",mozg_USSR#5755,967416208716619800,Tweet about us,,,83 XP,success,Wj0YLtqgsF9YVPd,https://twitter.com/Wj0YLtqgsF9YVPd/status/1626585112874999810
valya.novikov,5DheDcNL7XjQoD1bWACtNyk15wc3wSpAc6nZgdfW6HSA78eA,"February 18, 2023",valya.novikov#8300,958720813970886700,Tweet about us,,,83 XP,success,hemedi_jean,https://twitter.com/hemedi_jean/status/1626934484837842949?s=20
0x2408…5a07,5FHooAVN6nDWywSVJtNNYerBaSGaW5KDVN6yRdxxzYZiGc2j,"February 19, 2023",FlomasterV#5285,879977034523226100,Tweet about us,,,83 XP,success,DmytroKutsenko,https://twitter.com/DmytroKutsenko/status/1626982544234143744?s=20
0PER,5EZ1pnFWiy9NjmPFcGSQoxNRPd8gjevsxNig7P1wGNNRoHBQ,"February 19, 2023",0PER#7899,355296155866890240,Tweet about us,,,83 XP,success,0PERCR,https://twitter.com/0PERCR/status/1627138233527320576
unddka,1HXeAKZSVT9XnZBf2pKD3J1f6RyYzcASLekbL775mEaa91H,"January 18, 2023",unddka#7658,911927224540729300,Tweet about us,,,6 XP,success,IkotnikSeryi,https://twitter.com/IkotnikSeryi/status/1615739708016939009?s=20&t=e2cD0rdqfa9qLWjWIrID2g
zzzZzzslep,5GA1DZK4YKngZ8WyjdMeFyBVdjxpC7Kc9bHgzehWA8S8vUwb,"February 18, 2023",zzzZzzslep#6369,957155396324323300,Tweet about us,,,83 XP,success,waraina1987,https://twitter.com/waraina1987/status/1626670091730313243?s=20
0x60…B26f,5HQiKzSRYQTGvRSG5ZSc2APu89MCcNhen2oftVkNpWg3gZyK,"February 18, 2023",jingab123#7835,1006431544455467000,Tweet about us,,,83 XP,success,JINGAB123,https://twitter.com/JINGAB123/status/1626901608788545537?s=20
...(.)...,5D5GrBkL1ZadVovuQWziga5rcaYxXs8bbYDZSKs8kUFCyTSU,"February 18, 2023",...(.)...#5018,954404802106912900,Tweet about us,,,83 XP,success,greaserpasmu197,https://twitter.com/greaserpasmu197/status/1626637201873174546?s=20
Dotsent82,1RA8KwErPsuM6nRqvqHnzYaXrGY8WAQESu4PQugpBATuaaa,"February 18, 2023",Ihor|$NOM#0884,713362586774536200,Tweet about us,,,83 XP,success,Dotsent832,https://twitter.com/Dotsent832/status/1626961229964095491
magdalena,0x431ED3F953ADFCcfCA8b0F1730a29B3191130747,"February 18, 2023",순짱 | LN(링크단)#6385,919149069513928700,Tweet about us,,,83 XP,success,magdalenajjang,https://twitter.com/magdalenajjang/status/1626830857507069953?s=20
ego3,5EFizJuZRFLrHsMKTZ9ujB8Pika3D68RdQw8gHE8Vez1VBQE,"February 18, 2023",ego#6617,802345006856929300,Tweet about us,,,83 XP,success,nirvana_369_,https://twitter.com/nirvana_369_/status/1626957811052875777
krokodilmazafaka,5DiFMYxGMU9BevZGNtbULeCFfN7ubJ7dLpD4E9aez7ALmHz4,"February 18, 2023",krokodilmazafaka#2229,955445665809457200,Tweet about us,,,83 XP,success,miguelb53040751,https://twitter.com/miguelb53040751/status/1626922276804329472?s=20
dushek,16V2t7dFVu65Msj4NhNmxTsmJFBdMB5TCasDxsXfSsk39ueQ,"February 18, 2023",Vitaly Nalivkin#7646,249087642421952500,Tweet about us,,,83 XP,success,dushek2,https://twitter.com/dushek2/status/1626720074794139649?s=20
BartLisa,5CPEaZ5uQHQ2wWZx3UqFEshtvf66rHcVSAaoSqXkC46yxhiw,"February 18, 2023",BartLisa#8368,957525708706558000,Tweet about us,,,83 XP,success,taringo1981,https://twitter.com/taringo1981/status/1626826822636953601?s=20
0xb2F5…18fB,5CXkbqk8WaWjUr2uzLNdxFQE3vcqYJ9RzcyKarjBQ6xiLjyQ,"February 18, 2023",fausto#3901,915489108074315800,Tweet about us,,,83 XP,success,stevenchang105,https://twitter.com/stevenchang105/status/1626791867106074625?s=20
Andrii Skuchypets,13xKUfbyYU8reHVen3f6ec2nmmv9svjvFPJ6oumKRkBTDnVb,"February 17, 2023",Andrii Skuchypets#1387,857214665770532900,Tweet about us,,,83 XP,success,sku_and,https://twitter.com/sku_and/status/1626603677573173249?s=20
Baliez,1V67fTU6LcQRS5P4vVpEra2jJhXdsE7aFGkrHXBhuT69JeE,"February 17, 2023",Baliez#2072,910951178496512000,Tweet about us,,,83 XP,success,BilykJohn,https://twitter.com/BilykJohn/status/1626580833430835203?s=20
Aleksia,5CrL5icRFWxLkPaGanjoj3sux4A3zkNWWm5WkXRn1seiw2BD,"February 18, 2023",Aleksia#3725,957512503590535200,Tweet about us,,,83 XP,success,jimoiji1972,https://twitter.com/jimoiji1972/status/1626823769250754560?s=20
이도류,5CmKuq2sqSJtFcTUMjnPkz67eQLrgdf5dMsdZvQdAP8Un7QV,"February 18, 2023",z442#1191,382387153633804300,Tweet about us,,,83 XP,success,ll2442ll,https://twitter.com/ll2442ll/status/1626717614771965954?s=20
Hary goon,5DPSpsjXdDURXCCWT2wgPrkYUqD4zDsAz5bQdDTVcDTFk6kP,"February 17, 2023",Hary goon#8665,954718887298101200,Tweet about us,,,83 XP,success,giycineca1976,https://twitter.com/giycineca1976/status/1626573055001608192?s=20
ddkissfm,j4VdFRR557fN5CYfyG5xq6HDPMzySUxPbhNn6BHeqyUYVR5cp,"February 15, 2023",ddkissfm#4214,887808300933087400,Tweet about us,,,83 XP,success,AleksejPavlinic,https://twitter.com/aleksejpavlinic/status/1625860376712691712?s=21&t=zXzUMvLU-jYKB0GphPDV1Q
Vovan6996,12YewJE7oh7cThPa5rWopmcAXmW9E4tJtD4d1bP2axRAqTM5,"February 17, 2023",vovan6996#7887,664223310833385500,Tweet about us,,,83 XP,success,Vladimi27467632,https://twitter.com/Vladimi27467632/status/1626472899484831746?s=20
Zabava Vlad,5G1i2UtzG2Cie8omzVxfib3jJBRxHHz2zxnjcVdfbtS7Xsy1,"February 18, 2023",Zabava Vlad#9628,879763170749718500,Tweet about us,,,83 XP,success,zabavamers,https://twitter.com/zabavamers/status/1626841555049775106?s=20
Ivan Ivan,5HmiRt1GPq2RY9qd2vnZZPpwPABzgnYYFcVb9LAqnpYSGNdX,"February 18, 2023",Ivan Ivan#4023,957004051428560900,Tweet about us,,,83 XP,success,jikinta1982,https://twitter.com/jikinta1982/status/1626674203624628256?s=20
Shhhs,1aBUA4CjYk1fppcFHLLNPzVzryGzmqAgpaAFjpjAvk9SbfC,"February 18, 2023",Shhh#5334,960428525830164500,Tweet about us,,,83 XP,success,sinseun22949006,https://twitter.com/sinseun22949006/status/1626942205012373504?s=20
Ariec1,5HKMnSQe3VnAs99paGoFsesfEESaaBirk7ut9ZX2S15Ub5W6,"February 18, 2023",Ariec1#6471,956169592303149200,Tweet about us,,,83 XP,success,YKapuba,https://twitter.com/YKapuba/status/1626927605394939906?s=20
shaytocado,5FHmux2E4Fd5NtgfUD9HWtznd8hELEkB4e8NYncPc315a69E,"February 19, 2023",shaytocado#6464,921908272657743900,Tweet about us,,,83 XP,success,shaitex248,https://twitter.com/shaitex248/status/1627079576542408709?s=20
riezza__,j4VGrpnBNwmMzdEpKbGrAEzSNh5cXnwahCCdx417bQWWqFXM4,"January 26, 2023",riezza__#2650,878271212151779500,Tweet about us,,,83 XP,success,riezza__,https://twitter.com/riezza__/status/1618489094853767168?s=20&t=XlmbjVcCoegj4KPLLBE-Ng
ErickFerrardy,1395vTDUza4RW5aasryboBxT82kjGy2xZWpXYUUxzusMjroW,"February 17, 2023",MiningLike 🦾#1740,589200625317707800,Tweet about us,,,83 XP,success,ErickFerardy,https://twitter.com/ErickFerardy/status/1626558316565475334
KONTIK,1mzUfGpRApnqjh3TENZ6Cpza74G641d6UKJrVe4gvtzXx9D,"February 19, 2023",KONTIK#0348,327269641259057150,Tweet about us,,,83 XP,success,k1m1m0ro,https://twitter.com/k1m1m0ro/status/1627004251548393472
Ternith1,5Gs5qeXnmtJ962H6RGkd2XJ9sBDQMNWqgFNwFiBUzAg52i3B,"February 19, 2023",Arydoner#6897,884001975669227500,Tweet about us,,,83 XP,success,Moses80676103,https://twitter.com/Moses80676103/status/1627023704973533184
vilivonka,5DCS2cEyZwbmU5ixPJNXySPLiKhB2L7kCAhjWG3kHpXHqWYc,"February 18, 2023",vilivonka#9088,957151463497433100,Tweet about us,,,83 XP,success,raikii1986,https://twitter.com/raikii1986/status/1626674801099304961?s=20
tanya#7072,15Xx2ucSD7eQL1Hv8PpZAFuhtvKAVrQJ5e8VGV1WLP2Suyud,"February 17, 2023",tanya#7072,818436788565049300,Tweet about us,,,83 XP,success,Tanya08370651,https://twitter.com/Tanya08370651/status/1626288923717640193?s=20
PaulC,14K87aPKRTk4aF7Pv6omf32oiS5PdLXQiXppkdK7uw75dyPF,"February 18, 2023",PaulChoi#1915,421117282836807700,Tweet about us,,,83 XP,success,waterboy815,https://twitter.com/waterboy815/status/1626735715005640707?s=20
italyanomaf,5FbNCmU11dprLGWs4mhUx24raxsZcyPZoyTGSzorsCesepnk,"February 18, 2023",italyanomaf#3149,955441230454607900,Tweet about us,,,83 XP,success,NiosiPierrot,https://twitter.com/NiosiPierrot/status/1626920569395453959?s=20
Arey225,1651JnR6yfXix9JRRSqPHwoskGSRGmimixX7edpXpLGRD8rP,"February 18, 2023",Oleg22#7288,717059538934825100,Tweet about us,,,83 XP,success,Olegnewlife,https://twitter.com/Olegnewlife/status/1626913255103909888
0xd3…2fD0,16kkmgFPE5d6cF6GZN3VAmEvNTWvbuMTFA7z7iZGusi3ojPh,"February 18, 2023",asdfg71#1250,360091629698285600,Tweet about us,,,83 XP,success,ASDFG_71,https://twitter.com/ASDFG_71/status/1626834647169798146?s=20
ropsten80,j4T6ve5cfR8Y6FnvYV96dX1XYh2bdrQXu7JFqYqEdQ6p3g9Gw,"February 19, 2023",ropsten80#7558,874586049974771700,Tweet about us,,,83 XP,success,ropsten80,https://twitter.com/ropsten80/status/1627043571600588802?s=20
ururus,5FNh1XGWXM9SxeLcsCrn26G8BWUgD2mE8mcdXtprVeN1ukgB,"February 17, 2023",ururus#3843,896380062776066000,Tweet about us,,,83 XP,success,topcapitalz,https://twitter.com/topcapitalz/status/1626593134049374210?s=20
hchoi95,5GhUEqGjPmRUzt6VCrt6UrUocX32HFdCPqj1scWgBBeid9Qe,"February 18, 2023",hchoi9512#3208,892326628494049300,Tweet about us,,,83 XP,success,hchoi9512,https://twitter.com/hchoi9512/status/1626931543934640128?s=20
TrIpAK,5HK95z7wtdEB9EcdPtBoVYEwkFd22dnnYBZFvZrC7Xn87Ttj,"February 18, 2023",TrIpAK#7113,957522129555964000,Tweet about us,,,83 XP,success,rusaeda1978,https://twitter.com/rusaeda1978/status/1626821078713794560?s=20
viktoria vikulya,5D2BFgt2Uu3BP8FjhWUm99rf5cyt7tqnLJ5AJCTmxRPru4co,"February 18, 2023",viktoria vikulya#2278,953980288298549200,Tweet about us,,,83 XP,success,AjlanNdag,https://twitter.com/AjlanNdag/status/1626629030777593856?s=20
webego,5CZsfrVPQY6RNo7gfcAyvnQMNVCWK4794GYxkxQgMAaBEzUF,"February 18, 2023",webego#7660,778582792517845000,Tweet about us,,,83 XP,success,kimcheolho85,https://twitter.com/kimcheolho85/status/1626837622671933442?s=20
antiwett,j4WuUBntsR7qfUBhqCQkyAVvPF5D5dodTBRSPePfbJTmLQpB6,"February 18, 2023",antiwett#7830,631147094370943000,Tweet about us,,,83 XP,success,antiwett,https://twitter.com/antiwett/status/1626699066171183119?s=20
jayee,15T9oV8zEtFGgUoWUEDR6MLRabuXFJ2zeAaov85SgpKNe5Yv,"February 18, 2023",jayee#9153,706811912763080700,Tweet about us,,,83 XP,success,jayee_shin,https://twitter.com/jayee_shin/status/1626672102131785728?s=20
walnut,15kTW2J6afiq9x6cWFQujHh4HhiThVWEJoKjXh7DKoyKiqy7,"February 18, 2023",hoil#2475,745867784076132400,Tweet about us,,,83 XP,success,linear_hoil,https://twitter.com/linear_hoil/status/1626965535056605184?s=20
Gum,13sQNjUPgFP8MMLJoqjEDnYvWUSUfAhkpQKamRAbaF6NSNLo,"February 18, 2023",Gum#1853,579705634174533600,Tweet about us,,,83 XP,success,Gum672,https://twitter.com/Gum672/status/1626969839796383744?s=20
olegvadin,5CZYxhMLyYcU9TpQpfAaRWhTBY8gChVeNznSvZ4fzmff7a6D,"February 18, 2023",olegvadin#9684,954385098625654800,Tweet about us,,,83 XP,success,fotilabhigh1977,https://twitter.com/fotilabhigh1977/status/1626640212674723840?s=20
spartakm13,136gob6Gk9Cf2FrMzAwmm5mCfhRzSQ6XMqWH3wNZWxqLpCS5,"February 17, 2023",spartakm.nom#4336,784968798297260000,Tweet about us,,,83 XP,success,9tCJDnN98z9Z3rv,https://twitter.com/9tCJDnN98z9Z3rv/status/1626567271794581504?s=20
Dinamic,12rei8Pz69xstbffL7zPVuhBh9nbTXCWVW4ihDTuM1PPXtry,"February 18, 2023",Dinamic#3004,701140172754124800,Tweet about us,,,83 XP,success,33Dinamic,https://twitter.com/33Dinamic/status/1626861671984640000
2r1u4s,5G4Nvwte8KRj7EwNTt1zziZZ18K79D6K5z1bbaugE2pozfVC,"February 19, 2023",2r1u4s#6033,771256430232600600,Tweet about us,,,83 XP,success,OcCECyzAjS2hvmS,https://twitter.com/OcCECyzAjS2hvmS/status/1627015364381925376
@MeranVictory,5FCVehBRgWXgcGjzbasA6N3BYWxRwNUG47sMSVY4tQKRPnj4,"February 17, 2023",Victory#9934,873981599140704300,Tweet about us,,,83 XP,success,MeranVictory,https://twitter.com/MeranVictory/status/1626575415044087810
delegaTOR#6605,5GsKafCU3z97oTKAiSn8Wxp338mkjBTU8uUMC9Bw1CZVxD8b,"February 17, 2023",delegaTOR#6605,758021451944034400,Tweet about us,,,83 XP,success,Wafou36813661,https://twitter.com/Wafou36813661/status/1626547250703785985?s=20
Ranger SS,0x8071bC96d3E4A70F09a502f0bD4cB7F190510544,"February 18, 2023",Ranger SS#2733,447741979460239360,Tweet about us,,,83 XP,success,XjQvuoHo1qO8WjD,https://twitter.com/XjQvuoHo1qO8WjD/status/1626834138140672000?s=20
Seungjae,15QcJ3iBGue7xPwsVYCWWh82uXryX22PbfDZHREGfHo1tf95,"February 18, 2023",김승재#6830,453578569340420100,Tweet about us,,,83 XP,success,STMD_001,https://twitter.com/STMD_001/status/1626791348287438852?s=20
nasttiostapenko,5DskJSrXTvdXDMC9UwTvZZMRmaPYhvUnuuiWn2kLrMByLen5,"February 19, 2023",nasttiostapenko#4261,888422698726867000,Tweet about us,,,83 XP,success,Osta14Anastasia,https://twitter.com/Osta14Anastasia/status/1627097618244599808
0x11ea…29e9,5Hjdq5smJrqQXt3yY5QBX6wPYZ3GSqaGUZtroLKQmjafKNFG,"February 18, 2023",시완#3769,356800998347505660,Tweet about us,,,83 XP,success,woochooo,https://twitter.com/woochooo/status/1626950404406906882?s=20
0xe3…f220,5EFfvnjSrxwuHU4z8PMKHvbrrBaa4JVE5rSTRa7X1ciuJpFb,"February 19, 2023",UllaSundqvist#1710,986093966812414100,Tweet about us,,,83 XP,success,BriannaRene42,https://twitter.com/BriannaRene42/status/1627077543974289408?s=20
poppop,11MLGaMndScfWSi27ye87i14d6BgerGhv1sfyUt2iT97fxv,"February 19, 2023",DFSD#7076,882260433631867000,Tweet about us,,,83 XP,success,jsosj48241238,https://twitter.com/jsosj48241238/status/1626982455352897536?s=20
Batman2504,5FU1ezddiTUe5ia23UejnZ288V9pJn26akeAfXxMqx6Us91z,"February 19, 2023",Batman2504#3721,880174530021175300,Tweet about us,,,83 XP,success,ArtemFedorenk,https://twitter.com/artemfedorenk/status/1627067222580658177?s=46&t=wX1rCuPiBABslVVklP3phw
Zorin Andrey,5E71cHqSeikePHSvYLPmH9CxhCNmFV586bzUSoGGV4yak79Y,"February 18, 2023",Zorin Andrey#9830,885596900043137000,Tweet about us,,,83 XP,success,AndreyZorin99,https://twitter.com/AndreyZorin99/status/1626852786305392641?s=20
JS1203,5EFUPSVA28HWMbFHjFLnXWXvXPLsXwBmg7oGZH465gbD8sdH,"February 19, 2023",JS#1091,571646379018158100,Tweet about us,,,83 XP,success,JS19951203,https://twitter.com/JS19951203/status/1626982142797574144?s=20
HaryPoN,5H4KTqof3PvaY5AuFm5cWsDShc76Sv3wk32axTgVPU3Wqycz,"February 18, 2023",HaryPoN#3090,956996525249138800,Tweet about us,,,83 XP,success,chikenchi1972,https://twitter.com/chikenchi1972/status/1626671277342613505?s=20
Floki99,5D4i4pTvo2uhPJhauMn4A9tph3aN4EG59QZ1k16BNSV5fJAK,"February 17, 2023",Floki#9984,696724212307460100,Tweet about us,,,83 XP,success,egor_shumilov,https://twitter.com/egor_shumilov/status/1626566758004846592
nakurykotika,1bcS4cHBKZyqq2a6wxhsBmpy5A3uwbLu53AMVFT43jdXdMm,"February 17, 2023",tol1k_b1tcoin#5885,896290376200114200,Tweet about us,,,83 XP,success,nakurykotika,https://twitter.com/nakurykotika/status/1626581144362971137?s=20
konpedalnii,164spxKvQsnZ3EznULoyk9BSFCwA5BGv67FLxxi2u24vVw5y,"February 17, 2023",konpedalnii#0322,876782671601209300,Tweet about us,,,83 XP,success,AleksejVolkov16,https://twitter.com/AleksejVolkov16/status/1626562940831772672?s=20
TzS,146GNTZ1qFtgxSx1XRYFTGpLNCaBC3ihec87Y16UT3ZxHMRn,"February 18, 2023",TzS#9493,757194412244861000,Tweet about us,,,83 XP,success,TzhalimS,https://twitter.com/TzhalimS/status/1626760364175286272?s=20
whitecrow105,5DefGfnPiPXgxYEBu44G8CSkEjPezofiZLFgWER8Y5w5QsQz,"February 18, 2023",whitecrow105#8827,911596970601234400,Tweet about us,,,83 XP,success,whitecrow105,https://twitter.com/whitecrow105/status/1626767229172977665?s=20
샤라웃,5FKaJrnpqfJmAEtqvPNKW3VpaSrQYwz8qxoftSd6sNZRqnou,"February 18, 2023",샤라웃#0405,757220752469524600,Tweet about us,,,83 XP,success,haemin622,https://twitter.com/haemin622/status/1626658143135739904
Energetik3000,GCRVsSqgzywRVAhv1XHfyAdV5Za1bbrnLSU3BpsFcHSnajK,"February 18, 2023",Energetik| Sui Global#2853,693436850068783100,Tweet about us,,,83 XP,success,Energetik3000,https://twitter.com/Energetik3000/status/1626618224124039170
jk5121,147dsfHADAUk4djRAqZ5dJCVEhK7p3FiCFkLbuX8ujx1mmBW,"February 18, 2023",jayyoo#4471,405884574065754100,Tweet about us,,,83 XP,success,Jay_lyoo,https://twitter.com/Jay_lyoo/status/1626940957513105408?t=hUcLcPYOyj2rV0Zhyc5cnA&s=19
уксус,5HgcHqbNQEMo8eNN7eNywQkCZfqUKYbmnhwjzor7DYsq5rE7,"February 18, 2023",povarlife#3737,954398545572663400,Tweet about us,,,83 XP,success,EudoxieMvui,https://twitter.com/EudoxieMvui/status/1626903225726009344?s=20
slavs1310,5EUD7ZH7qDpXwYpEbBHewMAH3y4g9gT8M94MwB5NoKU7ZGQi,"February 17, 2023",Sergei#2312,931231994619248600,Tweet about us,,,83 XP,success,Sergey91865654,https://twitter.com/Sergey_web3/status/1626570995854110721?s=20
0xb5a0…2ff2,5CUcEmAaWZAa28ES9fwppoEfnN7RQYddxwbVPtnL91uhgQ5f,"February 18, 2023",OlegZiz#4510,887843153107894300,Tweet about us,,,83 XP,success,OlegZiz,https://twitter.com/OlegZiz/status/1626621269197070336
nochi-volk,5GQc9qfenwfrYu8VUAEPF5s7Rkt1gJgruN1CgxLjJLpVru5n,"February 18, 2023",nochi-volk#7742,959070280540622800,Tweet about us,,,83 XP,success,YigaAndrewStep1,https://twitter.com/YigaAndrewStep1/status/1626949863182065667?s=20
xaomi,16CaTX8LSRtXS8RHrFmVqR25KGca98pBhQ77EUWcREkqL7cv,"February 19, 2023",xaomi#0039,1050838754853666800,Tweet about us,,,83 XP,success,EasyCoinInfo1,https://twitter.com/EasyCoinInfo1/status/1627014527458893826
zkhrustalev91,5ERw8yxMQgEV7KsF5gesrcbqR8oV5mySicCxELwV2DuDbLgW,"February 18, 2023",zkhrustalev91#0716,954391518871974000,Tweet about us,,,83 XP,success,MarcosA77622965,https://twitter.com/MarcosA77622965/status/1626900519439548421?s=20
chaeso,5FsGynuHVfcQkpkumPvPoJsLhNHtGeSnKQWgtbjbiU9V5UTx,"February 18, 2023",채소#7562,943059348723228700,Tweet about us,,,83 XP,success,ijaehun36,https://twitter.com/ijaehun36/status/1626919693952118785?s=20
wonseok,14G4SHFrdEGF4PKsHa2PvtdgwzTx5GYM5puw31LkR8rRBpyb,"February 18, 2023",wonseok#1817,326352735018680300,Tweet about us,,,83 XP,success,Sgw2790Naver,https://twitter.com/Sgw2790Naver/status/1626836349537107968?s=20
